WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2008                                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Money amounts are in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* indicates that the value in the cell has been suppressed to avoid disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Size of Adjusted Gross Income,Zip Code,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,Taxable Interest,Ordinary Dividends,Business or profession net income (less loss),Net capital gain (less loss) in AGI,Taxable Individual Retirement Arrangement distributions,Pensions and annuities in AGI,Unemployment compensation in AGI,Social Security benefits in AGI,Self-employment retirement plans,Total itemized deductions,State and Local Income taxes,State and local general sales taxes,Real estate taxes,Taxes paid,Mortgage Interest paid,Contributions,Taxable income,Total tax credits,Residential Energy Credit,Child tax credit,Child and dependent care credit,Earned income credit,Excess earned income credit (refundable),Alternative minimum tax,Income tax,Total tax liability,Tax due at time of filing,Overpayments refunded,
,98144," 13,520 "," 3,541 "," 5,862 "," 23,309 "," 3,745 "," 974,126 "," 688,232 "," 23,580 "," 31,040 "," 39,564 "," 43,553 "," 10,088 "," 28,980 "," 3,140 "," 10,280 "," 4,252 "," 123,369 "," 2,085 "," 8,168 "," 19,033 "," 30,046 "," 62,355 "," 13,332 "," 732,210 "," 4,074 ", -   ," 1,739 ", 238 ," 2,697 "," 2,378 "," 1,387 "," 153,041 "," 159,903 "," 10,670 "," (30,489)",
"Under $10,000",98144," 2,123 ", 201 , 891 ," 2,220 ", 276 ," 7,140 "," 9,496 "," 1,042 "," 1,502 ", 717 , 248 , 280 , 842 , 119 , -   , -   ," 5,266 ", 22 , 52 , 740 , 959 ," 1,904 ", 62 , 439 , 2 , -   , -   , -   , 604 , 532 , -   , 40 , 302 , 93 ," (2,319)",
"$10,000 under $25,000",98144," 2,955 ", 333 ," 1,298 "," 4,796 ", 833 ," 51,688 "," 42,091 "," 1,572 ", 856 ," 3,371 ", 79 , 690 ," 3,372 ", 750 , 184 , -   ," 4,576 ", 37 , 136 , 775 , 968 ," 1,983 ", 312 ," 16,906 ", 263 , -   , 81 , 7 ," 1,644 "," 1,477 ", -   ," 1,571 "," 2,139 ", 361 ," (4,577)",
"$25,000 under $50,000",98144," 3,689 ", 658 ," 1,476 "," 6,520 "," 1,061 "," 133,835 "," 116,652 "," 2,182 "," 1,776 "," 4,318 ", 226 ," 1,423 "," 5,979 "," 1,081 "," 1,937 ", 174 ," 14,444 ", 105 , 646 ," 2,162 "," 3,000 "," 7,276 ", 949 ," 77,511 "," 1,074 ", -   , 674 , 57 , 450 , 369 , -   ," 8,962 "," 9,856 ", 692 ," (6,285)",
"$50,000 under $75,000",98144," 1,757 ", 501 , 688 ," 3,028 ", 437 ," 108,016 "," 92,077 "," 1,871 "," 1,457 "," 3,300 ", 663 ," 1,641 "," 5,003 ", 478 ," 2,564 ", 161 ," 16,067 ", 206 , 899 ," 2,409 "," 3,603 "," 9,470 "," 1,144 "," 74,314 ", 637 , -   , 438 , 35 , -   , -   , -   ," 10,961 "," 11,555 ", 771 ," (3,832)",
"$75,000 under $100,000",98144," 1,024 ", 485 , 434 ," 2,004 ", 302 ," 88,588 "," 73,973 "," 1,257 "," 1,662 "," 3,297 ", 494 ," 1,192 "," 4,272 ", 380 ," 1,934 ", 199 ," 15,620 ", 185 ," 1,052 "," 2,249 "," 3,568 "," 8,930 "," 1,369 "," 63,039 ", 476 , -   , 315 , 34 , -   , -   , -   ," 9,999 "," 10,566 ", 550 ," (2,888)",
"$100,000 under $200,000",98144," 1,341 ", 875 , 617 ," 3,053 ", 506 ," 182,640 "," 147,462 "," 3,194 "," 4,516 "," 8,981 "," 2,817 "," 3,146 "," 5,665 ", 255 ," 2,443 ", 951 ," 32,262 ", 487 ," 2,606 "," 4,907 "," 8,119 "," 18,175 "," 3,146 "," 137,701 ", 500 , -   , 231 , 69 , -   , -   , 93 ," 25,736 "," 27,310 "," 1,957 "," (4,650)",
"$200,000 or more",98144, 631 , 488 , 458 ," 1,688 ", 330 ," 402,220 "," 206,480 "," 12,462 "," 19,271 "," 15,580 "," 39,026 "," 1,716 "," 3,847 ", 77 ," 1,218 "," 2,768 "," 35,134 "," 1,044 "," 2,779 "," 5,790 "," 9,827 "," 14,618 "," 6,350 "," 362,300 "," 1,123 ", -   , -   , 36 , -   , -   ," 1,293 "," 95,771 "," 98,176 "," 6,245 "," (5,939)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98145, 557 , 68 , 151 , 721 , 68 ," 26,031 "," 21,036 ", 467 , 398 , 927 , 232 , 72 , 496 , 112 , 104 , -   ," 2,786 ", 32 , 134 , 369 , 618 ," 1,264 ", 244 ," 19,032 ", 92 , -   , 22 , -   , 45 , 30 , -   ," 3,456 "," 3,696 ", 249 , (792),
"Under $10,000",98145, 110 , -   , 24 , 108 , -   , 338 , 385 , 24 , 21 , 119 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , -   , 179 , -   , 16 , -   , -   , -   , -   , 22 , 30 , -   , -   , 22 , 9 , (52),
"$10,000 under $25,000",98145, 131 , -   , 26 , 143 , 18 ," 2,271 "," 1,903 ", 64 , 56 , 157 , 13 , -   , -   , -   , -   , -   , 345 , -   , -   , -   , 40 , -   , -   , 997 , 18 , -   , -   , -   , 23 , -   , -   , 91 , 120 , 25 , (118),
"$25,000 under $50,000",98145, 162 , 15 , 42 , 199 , 15 ," 5,880 "," 5,166 ", 128 , 57 , 393 , 3 , 72 , 212 , 112 , 104 , -   , 331 , -   , 27 , 33 , 64 , 134 , 45 ," 4,018 ", 30 , -   , -   , -   , -   , -   , -   , 503 , 564 , 62 , (190),
"$50,000 under $75,000",98145, 65 , 10 , 18 , 87 , 16 ," 3,909 "," 3,006 ", 100 , 96 , 150 , (8), -   , 284 , -   , -   , -   , 438 , -   , 36 , 49 , 73 , 227 , 14 ," 2,877 ", 14 , -   , -   , -   , -   , -   , -   , 453 , 496 , 31 , (112),
"$75,000 under $100,000",98145, 36 , 15 , 14 , 70 , -   ," 3,127 "," 2,912 ", 43 , 26 , 107 , 4 , -   , -   , -   , -   , -   , 307 , 32 , -   , 48 , 72 , 198 , -   ," 2,408 ", 19 , -   , 22 , -   , -   , -   , -   , 406 , 425 , -   , (110),
"$100,000 under $200,000",98145, 39 , 28 , 27 , 83 , 19 ," 5,136 "," 3,777 ", 108 , 93 , -   , 91 , -   , -   , -   , -   , -   , 824 , -   , 71 , 101 , 154 , 526 , 185 ," 3,991 ", 11 , -   , -   , -   , -   , -   , -   , 774 , 836 , 123 , (211),
"$200,000 or more",98145, 14 , -   , -   , 31 , -   ," 5,370 "," 3,886 ", -   , 51 , -   , 129 , -   , -   , -   , -   , -   , 542 , -   , -   , 108 , 214 , -   , -   ," 4,725 ", -   , -   , -   , -   , -   , -   , -   ," 1,229 "," 1,233 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98146," 12,540 "," 4,294 "," 6,366 "," 24,751 "," 4,451 "," 650,381 "," 497,467 "," 14,727 "," 11,190 "," 22,286 "," 18,115 "," 14,166 "," 37,256 "," 3,881 "," 15,172 ", 928 ," 99,253 "," 1,042 "," 6,607 "," 16,451 "," 24,866 "," 52,404 "," 8,574 "," 425,144 "," 3,733 ", -   ," 2,673 ", 191 ," 3,320 "," 2,862 ", 501 ," 69,881 "," 73,902 "," 5,566 "," (27,966)",
"Under $10,000",98146," 1,864 ", 170 , 830 ," 2,046 ", 317 ," 7,541 "," 8,008 ", 578 , 297 , 472 , 1 , 212 , 882 , 150 , -   , -   ," 2,969 ", 8 , 47 , 477 , 569 ," 1,571 ", 55 , 407 , 2 , -   , -   , -   , 647 , 564 , -   , 39 , 245 , 76 ," (1,551)",
"$10,000 under $25,000",98146," 2,684 ", 408 ," 1,453 "," 4,968 "," 1,040 "," 46,620 "," 36,747 "," 1,101 ", 570 ," 3,001 ", 111 , 822 ," 3,971 ", 926 , 191 , -   ," 5,607 ", 18 , 195 , 783 ," 1,105 "," 2,379 ", 277 ," 12,764 ", 224 , -   , 102 , 9 ," 2,112 "," 1,856 ", -   ," 1,163 "," 1,692 ", 241 ," (5,088)",
"$25,000 under $50,000",98146," 3,540 ", 867 ," 1,788 "," 7,200 "," 1,353 "," 128,151 "," 109,942 "," 1,879 ", 964 ," 3,337 ", (58)," 1,986 "," 6,989 "," 1,326 "," 2,441 ", -   ," 17,303 ", 147 , 860 ," 2,758 "," 3,860 "," 9,370 ", 942 ," 67,792 "," 1,211 ", -   , 914 , 58 , 562 , 442 , -   ," 7,424 "," 8,095 ", 541 ," (7,752)",
"$50,000 under $75,000",98146," 1,911 ", 883 , 933 ," 4,185 ", 694 ," 117,413 "," 97,517 "," 2,309 "," 1,184 "," 2,963 ", 187 ," 2,211 "," 7,053 ", 677 ," 4,181 ", 100 ," 20,036 ", 178 ," 1,203 "," 3,284 "," 4,809 "," 11,239 "," 1,289 "," 75,240 ", 994 , -   , 815 , 37 , -   , -   , 17 ," 10,116 "," 10,741 ", 616 ," (4,861)",
"$75,000 under $100,000",98146," 1,112 ", 789 , 558 ," 2,719 ", 450 ," 96,357 "," 77,710 "," 1,783 ", 975 ," 3,068 ", 519 ," 2,223 "," 6,179 ", 463 ," 3,350 ", -   ," 16,587 ", 196 ," 1,174 "," 2,695 "," 4,191 "," 9,515 "," 1,339 "," 66,458 ", 768 , -   , 568 , 33 , -   , -   , -   ," 9,404 "," 9,962 ", 567 ," (3,126)",
"$100,000 under $200,000",98146," 1,182 ", 976 , 621 ," 2,981 ", 485 ," 154,865 "," 117,544 "," 4,376 "," 2,873 "," 4,253 "," 2,383 "," 4,785 "," 10,240 ", 340 ," 4,230 ", 276 ," 26,502 ", 320 ," 2,191 "," 4,548 "," 7,258 "," 13,935 "," 2,748 "," 115,439 ", 440 , -   , 275 , 42 , -   , -   , 38 ," 20,308 "," 21,092 "," 1,302 "," (3,690)",
"$200,000 or more",98146, 247 , 201 , 183 , 652 , 112 ," 99,433 "," 49,999 "," 2,702 "," 4,327 "," 5,191 "," 14,972 "," 1,928 "," 1,943 ", -   , 779 , 552 ," 10,249 ", 176 , 936 ," 1,904 "," 3,074 "," 4,396 "," 1,923 "," 87,044 ", 94 , -   , -   , 13 , -   , -   , 447 ," 21,427 "," 22,076 "," 2,222 "," (1,897)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98148," 4,695 "," 1,365 "," 2,230 "," 8,825 "," 1,597 "," 205,888 "," 167,466 "," 4,264 "," 2,164 "," 4,692 "," 1,198 "," 4,490 "," 12,755 "," 1,310 "," 4,843 ", -   ," 27,707 ", 262 ," 1,794 "," 3,892 "," 6,220 "," 14,271 "," 2,502 "," 129,695 "," 1,410 ", -   ," 1,041 ", 100 ," 1,212 "," 1,020 ", -   ," 18,884 "," 19,852 "," 1,505 "," (8,875)",
"Under $10,000",98148, 652 , 47 , 266 , 707 , 105 ," 2,657 "," 2,678 ", 172 , 103 , 91 , (73), 82 , 341 , 71 , -   , -   , 870 , -   , 11 , 116 , 137 , 337 , 12 , 117 , -   , -   , -   , -   , 202 , 175 , -   , 14 , 82 , 30 , (425),
"$10,000 under $25,000",98148," 1,048 ", 127 , 535 ," 1,805 ", 365 ," 18,202 "," 14,498 ", 470 , 173 ," 1,231 ", (101), 303 ," 1,579 ", 275 , 84 , -   ," 1,843 ", 11 , 58 , 233 , 304 , 748 , 104 ," 5,432 ", 88 , -   , 38 , 6 , 808 , 694 , -   , 505 , 708 , 104 ," (1,910)",
"$25,000 under $50,000",98148," 1,500 ", 328 , 686 ," 2,858 ", 526 ," 54,663 "," 47,633 ", 622 , 303 ," 1,455 ", (8), 598 ," 2,927 ", 486 , 930 , -   ," 5,422 ", 58 , 272 , 768 ," 1,131 "," 2,743 ", 321 ," 30,903 ", 524 , -   , 386 , 40 , 202 , 151 , -   ," 3,475 "," 3,716 ", 210 ," (2,796)",
"$50,000 under $75,000",98148, 743 , 311 , 353 ," 1,562 ", 276 ," 45,487 "," 38,596 ", 611 , 371 , 752 , 110 , 942 ," 2,661 ", 241 ," 1,370 ", -   ," 6,200 ", 39 , 411 , 887 ," 1,387 "," 3,388 ", 655 ," 30,337 ", 364 , -   , 303 , 18 , -   , -   , -   ," 4,179 "," 4,318 ", 223 ," (1,571)",
"$75,000 under $100,000",98148, 394 , 259 , 190 , 949 , 165 ," 33,664 "," 27,091 ", 655 , 389 , 446 , 258 ," 1,110 "," 2,239 ", 151 ," 1,227 ", -   ," 5,405 ", 48 , 387 , 782 ," 1,255 "," 2,904 ", 506 ," 23,622 ", 277 , -   , 211 , 19 , -   , -   , -   ," 3,396 "," 3,500 ", 232 ," (1,076)",
"$100,000 under $200,000",98148, 329 , 274 , 178 , 867 , 146 ," 42,268 "," 33,623 ", 831 , 738 , 717 , 557 ," 1,455 "," 3,008 ", 86 ," 1,233 ", -   ," 7,071 ", 106 , 576 , 979 ," 1,782 "," 3,784 ", 773 ," 31,502 ", 142 , -   , 103 , 18 , -   , -   , -   ," 5,496 "," 5,665 ", 391 ," (1,097)",
"$200,000 or more",98148, 29 , 19 , 22 , 77 , 14 ," 8,946 "," 3,348 ", 902 , 87 , -   , 455 , -   , -   , -   , -   , -   , 897 , -   , 78 , 127 , 225 , 366 , 131 ," 7,781 ", 15 , -   , -   , -   , -   , -   , -   ," 1,819 "," 1,863 ", 314 , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98155," 16,970 "," 6,479 "," 6,627 "," 30,579 "," 4,877 "," 1,088,208 "," 801,666 "," 27,073 "," 23,287 "," 40,928 "," 34,880 "," 23,709 "," 55,811 "," 4,198 "," 23,960 "," 3,086 "," 179,356 "," 2,479 "," 11,699 "," 29,999 "," 45,337 "," 86,660 "," 17,493 "," 759,073 "," 5,511 ", -   ," 3,185 ", 359 ," 2,099 "," 1,720 "," 1,040 "," 134,286 "," 142,148 "," 13,379 "," (33,746)",
"Under $10,000",98155," 2,491 ", 216 , 792 ," 2,110 ", 218 ," 8,335 "," 11,673 "," 1,287 "," 1,220 "," (2,607)", 253 , 573 , 879 , 117 , -   , -   ," 5,889 ", 39 , 107 , 926 ," 1,161 "," 2,881 ", 93 , 825 , 3 , -   , -   , -   , 385 , 314 , -   , 77 , 356 , 105 ," (1,374)",
"$10,000 under $25,000",98155," 2,807 ", 371 ," 1,021 "," 3,878 ", 531 ," 48,746 "," 36,355 "," 1,923 "," 1,356 "," 3,184 ", 3 ," 1,384 "," 4,557 ", 803 , 314 , -   ," 7,722 ", 38 , 246 ," 1,192 "," 1,503 "," 2,927 ", 438 ," 16,753 ", 235 , -   , 60 , 12 ," 1,304 "," 1,085 ", -   ," 1,638 "," 2,258 ", 324 ," (3,838)",
"$25,000 under $50,000",98155," 4,068 ", 885 ," 1,470 "," 6,536 ", 950 ," 149,531 "," 122,431 "," 3,174 "," 2,417 "," 5,354 ", 568 ," 2,948 "," 9,910 "," 1,209 "," 3,714 ", 99 ," 22,248 ", 144 ," 1,062 "," 3,693 "," 5,086 "," 10,652 "," 1,634 "," 86,361 "," 1,040 ", -   , 641 , 66 , 411 , 321 , -   ," 10,097 "," 11,218 ", 908 ," (6,813)",
"$50,000 under $75,000",98155," 2,800 "," 1,184 "," 1,158 "," 5,444 ", 890 ," 172,348 "," 136,683 "," 3,828 "," 3,113 "," 6,673 ", 753 ," 3,745 "," 11,045 ", 814 ," 6,625 ", 256 ," 30,715 ", 265 ," 1,779 "," 5,363 "," 7,599 "," 16,277 "," 2,282 "," 112,435 "," 1,233 ", -   , 909 , 60 , -   , -   , -   ," 15,443 "," 16,659 "," 1,107 "," (6,324)",
"$75,000 under $100,000",98155," 1,896 "," 1,328 ", 780 ," 4,561 ", 776 ," 164,260 "," 131,807 "," 3,193 "," 2,520 "," 5,656 ", 730 ," 3,920 "," 9,950 ", 569 ," 5,397 ", 187 ," 30,629 ", 292 ," 2,040 "," 5,351 "," 7,875 "," 16,702 "," 2,798 "," 112,309 "," 1,287 ", -   , 875 , 68 , -   , -   , -   ," 15,837 "," 16,770 ", 812 ," (5,129)",
"$100,000 under $200,000",98155," 2,337 "," 1,994 "," 1,041 "," 6,437 "," 1,213 "," 308,793 "," 246,247 "," 6,006 "," 6,103 "," 11,775 "," 4,420 "," 6,343 "," 14,359 ", 584 ," 5,982 ", 931 ," 53,233 ", 888 ," 4,338 "," 9,211 "," 14,772 "," 27,905 "," 5,458 "," 228,875 "," 1,103 ", -   , 701 , 126 , -   , -   , 117 ," 39,896 "," 41,914 "," 3,095 "," (6,830)",
"$200,000 or more",98155, 571 , 501 , 365 ," 1,613 ", 299 ," 236,196 "," 116,470 "," 7,662 "," 6,557 "," 10,893 "," 28,154 "," 4,796 "," 5,111 ", 102 ," 1,929 "," 1,613 "," 28,920 ", 812 ," 2,126 "," 4,264 "," 7,341 "," 9,316 "," 4,790 "," 201,513 ", 609 , -   , -   , 27 , -   , -   , 923 ," 51,299 "," 52,972 "," 7,029 "," (3,437)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98165, 471 , 135 , 224 , 775 , 117 ," 28,529 "," 20,922 ", 899 , 382 ," 1,168 ", 860 , 239 , 739 , 40 , 505 , -   ," 5,166 ", 44 , 297 , 775 ," 1,149 "," 2,358 ", 269 ," 19,648 ", 112 , -   , 67 , -   , 56 , 43 , 55 ," 3,468 "," 3,780 ", 438 , (918),
"Under $10,000",98165, 72 , 16 , 32 , 78 , 10 , 101 , 268 , 92 , 15 , 21 , (23), -   , 127 , -   , -   , -   , 285 , -   , 10 , 48 , 58 , 153 , -   , 36 , -   , -   , -   , -   , 18 , 17 , -   , 4 , 12 , -   , (59),
"$10,000 under $25,000",98165, 71 , -   , 29 , 93 , 10 ," 1,280 ", 870 , 42 , -   , 310 , -   , 91 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 492 , 5 , -   , -   , -   , 37 , 26 , -   , 49 , 99 , 21 , (65),
"$25,000 under $50,000",98165, 127 , 18 , 58 , 184 , 26 ," 4,775 "," 3,661 ", 113 , 49 , 419 , (16), -   , 329 , 40 , 114 , -   , 703 , 16 , 30 , 115 , 155 , 427 , 45 ," 2,853 ", 29 , -   , 15 , -   , -   , -   , -   , 350 , 427 , 52 , (166),
"$50,000 under $75,000",98165, 80 , 23 , 38 , 140 , 23 ," 4,920 "," 4,074 ", 116 , 63 , 57 , (12), 148 , 283 , -   , 180 , -   , 915 , -   , 46 , 120 , 182 , 414 , 55 ," 3,289 ", 26 , -   , 23 , -   , -   , -   , -   , 487 , 502 , 66 , (171),
"$75,000 under $100,000",98165, 47 , 30 , 20 , 114 , 19 ," 4,065 "," 3,070 ", 248 , 59 , -   , 4 , -   , -   , -   , 211 , -   , 742 , 28 , 38 , 129 , 186 , 450 , 40 ," 2,746 ", 27 , -   , 29 , -   , -   , -   , -   , 394 , 433 , -   , (175),
"$100,000 under $200,000",98165, 56 , 36 , 32 , 124 , 29 ," 7,152 "," 5,925 ", 153 , 66 , 361 , 93 , -   , -   , -   , -   , -   ," 1,285 ", -   , 118 , 209 , 347 , 629 , 70 ," 5,367 ", 25 , -   , -   , -   , -   , -   , 55 , 988 ," 1,064 ", 299 , (283),
"$200,000 or more",98165, 18 , 12 , 15 , 42 , -   ," 6,235 "," 3,053 ", 135 , 130 , -   , 814 , -   , -   , -   , -   , -   ," 1,235 ", -   , 54 , 154 , 222 , 286 , 60 ," 4,865 ", -   , -   , -   , -   , -   , -   , -   ," 1,196 "," 1,243 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98166," 10,388 "," 4,187 "," 5,179 "," 19,988 "," 3,239 "," 792,571 "," 528,027 "," 23,393 "," 22,919 "," 26,225 "," 46,681 "," 24,464 "," 53,330 "," 2,695 "," 23,289 "," 2,384 "," 130,515 "," 2,873 "," 8,359 "," 23,128 "," 36,304 "," 55,815 "," 13,448 "," 567,293 "," 3,344 ", -   ," 1,760 ", 183 ," 1,341 "," 1,145 "," 1,462 "," 110,401 "," 115,270 "," 9,160 "," (25,470)",
"Under $10,000",98166," 1,552 ", 117 , 640 ," 1,348 ", 180 ," 5,088 "," 6,807 ", 787 , 504 ," (1,025)", (97), 287 , 576 , 107 , -   , -   ," 3,341 ", 25 , 94 , 596 , 844 ," 1,621 ", 36 , 474 , 2 , -   , -   , -   , 324 , 285 , -   , 72 , 230 , 106 ," (1,074)",
"$10,000 under $25,000",98166," 1,774 ", 242 , 890 ," 2,929 ", 520 ," 30,960 "," 23,034 "," 1,134 ", 714 ," 1,368 ", 51 ," 1,018 "," 3,408 ", 536 , 293 , -   ," 4,265 ", 94 , 143 , 675 , 930 ," 1,272 ", 232 ," 9,470 ", 119 , -   , 50 , 6 , 784 , 691 , -   , 909 ," 1,167 ", 163 ," (2,624)",
"$25,000 under $50,000",98166," 2,418 ", 569 ," 1,182 "," 4,540 ", 727 ," 88,935 "," 70,273 "," 1,945 "," 1,508 "," 3,600 ", 29 ," 1,907 "," 7,471 ", 813 ," 2,682 ", -   ," 12,799 ", 121 , 684 ," 2,463 "," 3,375 "," 5,576 ", 936 ," 48,926 ", 639 , -   , 458 , 32 , 233 , 169 , -   ," 5,636 "," 6,263 ", 440 ," (4,604)",
"$50,000 under $75,000",98166," 1,436 ", 655 , 719 ," 2,889 ", 421 ," 88,232 "," 63,241 "," 2,505 "," 1,901 "," 3,098 ", 383 ," 2,860 "," 9,296 ", 439 ," 5,127 ", 128 ," 17,287 ", 159 , 997 ," 3,116 "," 4,400 "," 8,221 "," 1,277 "," 55,768 ", 568 , -   , 454 , 26 , -   , -   , -   ," 7,622 "," 8,217 ", 599 ," (3,419)",
"$75,000 under $100,000",98166," 1,021 ", 717 , 533 ," 2,384 ", 363 ," 88,805 "," 60,546 "," 2,635 "," 2,540 "," 2,215 ", 852 ," 4,308 "," 9,633 ", 282 ," 5,710 ", 131 ," 17,868 ", 347 ," 1,132 "," 3,544 "," 5,156 "," 8,186 "," 1,624 "," 59,797 ", 604 , -   , 409 , 31 , -   , -   , -   ," 8,459 "," 8,939 ", 408 ," (3,132)",
"$100,000 under $200,000",98166," 1,635 "," 1,398 ", 820 ," 4,361 ", 756 ," 222,999 "," 164,436 "," 5,534 "," 6,012 "," 9,246 "," 2,073 "," 7,866 "," 16,169 ", 518 ," 6,915 ", 807 ," 40,462 ", 885 ," 3,220 "," 7,836 "," 12,220 "," 19,965 "," 4,498 "," 164,380 ", 648 , -   , 388 , 66 , -   , -   , 193 ," 29,282 "," 30,779 "," 2,229 "," (5,888)",
"$200,000 or more",98166, 552 , 489 , 395 ," 1,537 ", 272 ," 267,553 "," 139,690 "," 8,852 "," 9,740 "," 7,723 "," 43,390 "," 6,219 "," 6,777 ", -   ," 2,561 "," 1,318 "," 34,493 "," 1,241 "," 2,089 "," 4,898 "," 9,378 "," 10,975 "," 4,844 "," 228,478 ", 763 , -   , -   , 23 , -   , -   ," 1,270 "," 58,420 "," 59,675 "," 5,215 "," (4,729)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98168," 16,192 "," 4,859 "," 8,735 "," 33,066 "," 6,250 "," 649,775 "," 549,080 "," 10,383 "," 4,683 "," 15,522 "," 8,051 "," 9,401 "," 32,038 "," 5,100 "," 12,593 ", 77 ," 93,188 ", 777 ," 5,614 "," 13,321 "," 20,586 "," 52,591 "," 6,612 "," 383,609 "," 4,869 ", -   ," 3,851 ", 224 ," 5,516 "," 4,809 ", 153 ," 53,740 "," 56,877 "," 4,547 "," (33,783)",
"Under $10,000",98168," 2,498 ", 215 ," 1,213 "," 3,046 ", 514 ," 10,475 "," 11,323 ", 509 , 211 , 220 , 55 , 183 , 710 , 191 , -   , -   ," 2,820 ", 6 , 53 , 365 , 608 ," 1,687 ", 39 , 443 , 1 , -   , -   , -   ," 1,060 ", 931 , -   , 43 , 326 , 109 ," (2,170)",
"$10,000 under $25,000",98168," 3,958 ", 598 ," 2,308 "," 7,483 "," 1,607 "," 69,968 "," 57,715 "," 1,257 ", 542 ," 4,134 ", 200 ," 1,178 "," 4,295 "," 1,219 ", 258 , -   ," 6,493 ", 38 , 245 , 950 ," 1,267 "," 3,457 ", 279 ," 19,603 ", 349 , -   , 193 , 17 ," 3,484 "," 3,093 ", -   ," 1,786 "," 2,465 ", 301 ," (7,935)",
"$25,000 under $50,000",98168," 5,213 "," 1,269 "," 2,819 "," 11,417 "," 2,226 "," 188,348 "," 168,304 "," 1,956 ", 658 ," 4,375 ", 185 ," 1,676 "," 8,416 "," 1,852 "," 2,597 ", -   ," 23,616 ", 134 ," 1,169 "," 3,410 "," 4,852 "," 13,923 "," 1,194 "," 97,554 "," 1,932 ", -   ," 1,529 ", 90 , 973 , 785 , -   ," 10,535 "," 11,353 ", 686 ," (11,382)",
"$50,000 under $75,000",98168," 2,395 "," 1,166 "," 1,246 "," 5,652 ", 976 ," 145,553 "," 125,835 "," 1,979 ", 934 ," 2,850 ", 69 ," 2,025 "," 7,236 "," 1,071 "," 4,174 ", 77 ," 24,233 ", 187 ," 1,495 "," 3,457 "," 5,307 "," 14,488 "," 1,541 "," 91,666 "," 1,413 ", -   ," 1,205 ", 53 , -   , -   , -   ," 12,089 "," 12,591 ", 684 ," (6,088)",
"$75,000 under $100,000",98168," 1,200 ", 853 , 652 ," 3,028 ", 517 ," 103,091 "," 88,136 "," 1,597 ", 767 ," 1,736 ", 328 ," 1,748 "," 5,113 ", 397 ," 3,071 ", -   ," 17,390 ", 183 ," 1,104 "," 2,467 "," 3,869 "," 9,720 "," 1,417 "," 71,171 ", 803 , -   , 637 , 36 , -   , -   , -   ," 10,141 "," 10,475 ", 572 ," (3,443)",
"$100,000 under $200,000",98168, 860 , 714 , 442 ," 2,297 ", 392 ," 108,109 "," 88,825 "," 1,535 "," 1,005 "," 2,208 "," 1,519 "," 2,140 "," 5,805 ", 370 ," 2,110 ", -   ," 16,508 ", 229 ," 1,404 "," 2,355 "," 4,073 "," 8,593 "," 1,782 "," 81,692 ", 363 , -   , 286 , 27 , -   , -   , 36 ," 14,223 "," 14,686 "," 1,141 "," (2,531)",
"$200,000 or more",98168, 68 , 44 , 55 , 143 , 18 ," 24,232 "," 8,942 "," 1,549 ", 566 , -   ," 5,694 ", 451 , 464 , -   , 384 , -   ," 2,129 ", -   , 144 , 317 , 611 , 724 , 359 ," 21,481 ", 8 , -   , -   , -   , -   , -   , 117 ," 4,923 "," 4,981 "," 1,054 ", (234),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98177," 10,329 "," 4,546 "," 5,024 "," 18,946 "," 2,903 "," 1,297,124 "," 621,883 "," 60,568 "," 150,068 "," 53,777 "," 174,413 "," 26,176 "," 47,533 "," 2,362 "," 25,736 "," 5,912 "," 216,665 "," 5,505 "," 12,052 "," 33,552 "," 55,212 "," 72,895 "," 53,618 "," 1,005,304 "," 4,115 ", -   ," 1,369 ", 222 , 649 , 511 ," 3,885 "," 211,375 "," 220,528 "," 18,617 "," (28,797)",
