adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,total_tax_number_of_returns,total_tax_amount,contributions_number_of_returns,contributions_amount,schedule_c_number_of_returns,schedule_f_number_of_returns,schedule_a_deductions_number_of_returns
"Under $10,000        ",**,**,**,**,**,**,--,--,**,**,--,--,--,--,--
"$10,000 under $25,000",**,**,**,**,*       14,*        527,**,**,**,**,--,--,--,--,--
"$25,000 under $50,000",*       16,*       31,*        9,*        621,**,**,**,**,*       15,*         61,**,**,**,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
,,,,,,,,,,,,,,,
98349,"1,594","3,352","1,023","63,891","1,247","44,981",777,"1,158","1,172","6,712",472,921,281,26,612
"Under $10,000        ",296,346,79,796,205,931,91,68,58,11,**,**,52,**,25
"$10,000 under $25,000",390,715,193,"6,624",284,"4,219",156,193,260,214,*       62,*       85,70,*       15,81
"$25,000 under $50,000",431,983,321,"15,891",348,"11,816",200,282,383,"1,062",129,198,63,**,180
"$50,000 or more      ",477,"1,308",430,"40,580",410,"28,015",330,615,471,"5,425",281,638,96,11,326
,,,,,,,,,,,,,,,
98350,124,272,112,"2,572",120,"2,217",28,44,62,149,**,**,**,--,**
"Under $10,000        ",44,69,25,188,42,163,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",39,89,34,646,38,576,**,**,*       27,*         14,**,**,**,--,**
"$25,000 under $50,000",29,79,37,996,28,849,*       28,*       44,23,56,**,**,**,--,**
"$50,000 or more      ",12,35,16,742,12,629,**,**,12,79,**,**,**,--,**
,,,,,,,,,,,,,,,
98351,273,537,126,"14,280",186,"8,377",169,412,220,"1,889",100,263,42,**,115
"Under $10,000        ",47,42,2,126,31,151,20,43,**,**,*       10,*       14,**,**,*       14
"$10,000 under $25,000",56,81,6,961,28,389,30,50,*       53,*         40,**,**,*       24,--,**
"$25,000 under $50,000",70,154,42,"2,599",49,"1,582",39,39,67,177,21,29,**,**,24
"$50,000 or more      ",100,260,76,"10,594",78,"6,255",80,280,100,"1,672",69,220,18,**,77
,,,,,,,,,,,,,,,
98353,533,"1,006",227,"27,347",380,"17,389",361,874,449,"3,262",226,481,100,**,253
"Under $10,000        ",79,72,11,263,49,230,37,33,23,2,**,**,11,**,12
"$10,000 under $25,000",85,121,19,"1,487",52,795,45,52,69,62,*       22,*       30,14,--,17
"$25,000 under $50,000",133,242,51,"4,923",98,"3,225",86,115,125,372,53,86,21,--,59
"$50,000 or more      ",236,571,146,"20,674",181,"13,139",193,674,232,"2,826",151,365,54,--,165
,,,,,,,,,,,,,,,
98354,"3,552","6,711","1,963","161,778","3,043","127,489","1,772","3,060","2,935","18,995","1,098","2,566",441,12,"1,265"
"Under $10,000        ",499,438,82,"1,984",382,"2,155",164,154,153,29,15,13,73,**,28
"$10,000 under $25,000",753,"1,134",261,"13,121",556,"9,012",274,476,560,541,70,129,68,*       12,85
"$25,000 under $50,000","1,098","1,963",546,"40,031",973,"32,834",473,820,"1,029","3,196",258,508,116,**,320
"$50,000 or more      ","1,202","3,176","1,074","106,642","1,132","83,488",861,"1,610","1,193","15,229",755,"1,916",184,**,832
,,,,,,,,,,,,,,,
98355,199,396,97,"7,145",161,"5,606",99,129,153,629,38,87,27,**,57
"Under $10,000        ",39,44,11,105,26,149,18,11,**,**,**,**,**,**,**
"$10,000 under $25,000",42,77,18,691,30,415,14,41,*       39,*         28,**,**,*       13,**,**
"$25,000 under $50,000",64,135,32,"2,388",55,"1,840",29,38,60,175,*       18,*       22,*       14,**,*       31
"$50,000 or more      ",54,140,36,"3,961",50,"3,202",38,39,54,426,20,65,**,**,26
,,,,,,,,,,,,,,,
98356,994,"2,026",616,"33,653",808,"25,148",508,"1,017",694,"3,303",131,227,138,29,192
"Under $10,000        ",212,238,51,962,154,772,81,123,48,18,**,**,24,**,**
"$10,000 under $25,000",274,512,143,"4,471",205,"2,812",130,216,168,123,*       16,*       27,38,*       17,*       29
"$25,000 under $50,000",299,722,253,"11,067",260,"8,831",139,205,270,750,56,82,42,**,82
"$50,000 or more      ",209,554,169,"17,153",189,"12,733",158,473,208,"2,412",59,118,34,12,81
,,,,,,,,,,,,,,,
98357,437,"1,028",440,"12,234",401,"10,190",98,176,266,963,**,**,58,--,13
"Under $10,000        ",116,208,85,583,107,592,10,6,15,1,--,--,**,--,--
"$10,000 under $25,000",138,289,120,"2,449",124,"2,016",20,52,84,70,**,**,*       26,--,**
"$25,000 under $50,000",114,305,134,"4,025",106,"3,432",27,11,99,240,**,**,17,--,*       13
"$50,000 or more      ",69,226,101,"5,177",64,"4,150",41,107,68,652,**,**,15,--,**
,,,,,,,,,,,,,,,
98358,381,685,123,"17,503",206,"7,142",301,918,282,"2,067",134,431,94,**,165
"Under $10,000        ",88,87,10,250,51,335,53,96,24,4,**,**,20,**,14
"$10,000 under $25,000",77,122,17,"1,311",24,278,58,202,53,39,*       27,*       46,21,**,27
"$25,000 under $50,000",84,171,33,"3,017",51,"1,481",65,180,74,196,29,75,21,**,36
"$50,000 or more      ",132,305,63,"12,925",80,"5,048",125,440,131,"1,828",78,310,32,**,88
,,,,,,,,,,,,,,,
98359,"2,012","4,366","1,403","91,165","1,667","70,752","1,074","1,253","1,581","9,734",736,"1,548",339,20,876
"Under $10,000        ",301,326,87,"1,180",231,"1,390",88,54,92,27,11,12,38,--,24
"$10,000 under $25,000",424,697,169,"7,284",298,"4,429",180,207,287,266,62,90,63,**,87
"$25,000 under $50,000",537,"1,204",404,"19,875",450,"14,743",257,240,461,"1,332",172,249,84,**,218
"$50,000 or more      ",750,"2,139",743,"62,826",688,"50,190",549,752,741,"8,109",491,"1,197",154,*       20,547
,,,,,,,,,,,,,,,
98360,"3,802","8,347","2,848","182,629","3,358","148,970","1,826","2,370","3,116","19,718","1,431","2,742",455,48,"1,781"
"Under $10,000        ",524,474,106,"2,123",418,"2,196",134,121,141,32,16,12,46,*       12,35
"$10,000 under $25,000",711,"1,144",314,"12,378",576,"9,255",244,338,506,480,81,82,69,**,118
"$25,000 under $50,000","1,020","2,252",816,"37,989",910,"31,181",411,544,935,"2,739",335,399,113,14,445
"$50,000 or more      ","1,547","4,477","1,612","130,139","1,454","106,338","1,037","1,367","1,534","16,467",999,"2,249",227,22,"1,183"
,,,,,,,,,,,,,,,
98361,604,"1,091",220,"18,792",433,"11,607",344,858,419,"1,841",92,178,78,**,122
"Under $10,000        ",139,185,46,383,95,484,62,51,22,4,**,**,18,--,**
"$10,000 under $25,000",174,295,49,"2,884",109,"1,498",78,149,116,92,*       21,*       39,19,**,*       29
"$25,000 under $50,000",170,337,71,"6,161",128,"3,966",105,146,161,474,36,72,24,**,44
"$50,000 or more      ",121,274,54,"9,364",101,"5,659",99,512,120,"1,271",35,67,17,**,49
,,,,,,,,,,,,,,,
98362,"10,217","19,300","5,136","402,496","7,723","249,208","5,759","14,914","7,664","45,627","2,307","6,376","1,584",84,"2,895"
"Under $10,000        ","2,025","2,092",386,"7,665","1,437","7,516",743,848,506,115,70,73,271,18,142
"$10,000 under $25,000","2,824","4,564","1,085","48,140","2,001","31,041","1,284","2,613","2,010","1,711",281,492,316,13,384
"$25,000 under $50,000","2,662","5,533","1,529","96,762","2,084","66,271","1,561","3,601","2,447","6,933",623,"1,240",442,17,843
"$50,000 or more      ","2,706","7,111","2,136","249,929","2,201","144,380","2,171","7,852","2,701","36,868","1,333","4,571",555,36,"1,526"
,,,,,,,,,,,,,,,
98363,"4,768","9,579","2,925","167,178","3,813","119,384","2,507","4,972","3,490","16,447",960,"2,238",668,51,"1,257"
"Under $10,000        ","1,013","1,145",299,"3,286",778,"4,193",345,425,265,49,29,24,111,*       18,63
"$10,000 under $25,000","1,307","2,305",676,"22,327",974,"15,175",535,954,887,750,98,125,140,**,157
"$25,000 under $50,000","1,284","2,923",927,"47,008","1,050","34,672",717,"1,388","1,183","3,171",290,487,223,14,401
"$50,000 or more      ","1,164","3,206","1,023","94,557","1,011","65,344",910,"2,205","1,155","12,477",543,"1,602",194,19,636
,,,,,,,,,,,,,,,
98364,106,193,46,"5,453",81,"2,885",55,258,79,709,30,355,17,--,37
"Under $10,000        ",20,21,3,65,14,71,*       14,*       12,**,**,*       10,*       12,**,--,**
"$10,000 under $25,000",20,44,15,356,14,288,**,**,*       16,*          8,**,**,*       17,--,*       13
"$25,000 under $50,000",29,52,15,"1,035",24,711,13,36,26,75,**,**,**,--,**
"$50,000 or more      ",37,76,13,"3,997",29,"1,815",28,210,37,626,20,343,**,--,24
,,,,,,,,,,,,,,,
98365,"1,991","3,668",500,"126,125","1,063","47,915","1,549","7,414","1,625","18,488",929,"2,872",356,13,"1,065"
"Under $10,000        ",257,261,31,-926,140,783,130,294,55,10,28,28,43,--,57
"$10,000 under $25,000",361,598,75,"6,262",144,"2,111",252,589,229,171,98,154,57,**,127
"$25,000 under $50,000",474,902,150,"17,398",261,"7,328",358,"1,141",447,"1,154",205,331,80,*       13,235
"$50,000 or more      ",899,"1,907",244,"103,391",518,"37,693",809,"5,390",894,"17,153",598,"2,359",176,**,646
,,,,,,,,,,,,,,,
98366,"13,673","28,494","9,007","575,485","11,491","442,885","6,679","10,257","10,826","59,543","4,180","9,477","1,602",46,"4,892"
"Under $10,000        ","2,046","2,139",560,"7,477","1,633","8,564",523,404,538,104,61,55,232,**,114
"$10,000 under $25,000","3,151","5,262","1,468","54,604","2,391","38,338","1,048","1,327","2,227","2,026",295,495,267,**,389
"$25,000 under $50,000","4,006","8,668","2,760","146,156","3,370","110,674","1,950","2,309","3,624","10,028","1,154","1,826",448,*       22,"1,420"
"$50,000 or more      ","4,470","12,425","4,219","367,248","4,097","285,309","3,158","6,217","4,437","47,385","2,670","7,101",655,24,"2,969"
,,,,,,,,,,,,,,,
98367,"9,365","20,310","6,724","440,516","8,038","352,357","4,892","5,862","7,480","47,636","3,620","7,656","1,258",69,"4,207"
"Under $10,000        ","1,566","1,337",300,"6,216","1,270","6,546",413,351,427,84,55,63,162,*       14,106
"$10,000 under $25,000","1,730","2,827",770,"29,745","1,312","20,695",600,642,"1,239","1,127",213,335,183,**,292
"$25,000 under $50,000","2,251","5,082","1,699","83,478","1,888","63,418","1,103","1,118","2,019","5,582",765,"1,166",311,15,939
"$50,000 or more      ","3,818","11,064","3,955","321,077","3,568","261,698","2,776","3,751","3,795","40,843","2,587","6,092",602,40,"2,870"
,,,,,,,,,,,,,,,
98368,"6,755","11,914","2,674","272,242","4,563","143,149","4,244","12,926","4,941","34,847","1,781","4,964","1,572",47,"2,243"
"Under $10,000        ","1,560","1,673",291,-44,934,"5,242",673,"1,192",367,72,79,87,411,*       15,169
"$10,000 under $25,000","1,711","2,675",528,"28,873","1,107","16,391",931,"1,843","1,236","1,025",259,391,370,**,351
"$25,000 under $50,000","1,664","3,217",773,"60,679","1,196","36,459","1,120","2,767","1,532","4,531",457,892,358,13,593
"$50,000 or more      ","1,820","4,349","1,082","182,734","1,326","85,057","1,520","7,124","1,806","29,219",986,"3,594",433,19,"1,130"
,,,,,,,,,,,,,,,
98370,"11,502","23,677","7,138","597,337","9,205","422,965","6,980","13,551","9,326","75,021","4,560","13,556","1,856",91,"5,317"
"Under $10,000        ","1,851","1,587",302,"4,014","1,342","7,591",717,766,530,103,90,87,248,*       16,185
"$10,000 under $25,000","2,218","3,380",768,"38,651","1,534","24,789",968,"1,738","1,658","1,537",317,442,272,**,422
"$25,000 under $50,000","2,786","5,766","1,679","102,814","2,223","73,694","1,603","2,614","2,522","7,223",946,"1,661",433,21,"1,183"
"$50,000 or more      ","4,647","12,944","4,389","451,858","4,106","316,891","3,692","8,433","4,616","66,158","3,207","11,366",903,54,"3,527"
,,,,,,,,,,,,,,,
98371,"9,670","18,816","5,633","459,523","8,045","340,298","5,293","10,313","7,801","56,568","3,250","9,612","1,170",45,"3,699"
"Under $10,000        ","1,587","1,273",253,"7,028","1,221","6,082",545,438,470,89,56,72,132,**,91
"$10,000 under $25,000","2,162","3,259",757,"37,337","1,603","25,118",873,"1,496","1,599","1,525",231,415,190,--,297
"$25,000 under $50,000","2,497","4,700","1,287","90,491","2,096","68,491","1,231","2,350","2,327","6,901",664,"1,205",266,*       18,802
"$50,000 or more      ","3,424","9,584","3,336","324,667","3,125","240,607","2,644","6,029","3,405","48,053","2,299","7,920",582,27,"2,509"
,,,,,,,,,,,,,,,
98372,"9,239","18,310","5,819","446,977","7,998","354,464","4,727","8,452","7,458","56,098","3,023","7,502","1,106",39,"3,404"
"Under $10,000        ","1,486","1,229",268,"5,214","1,167","5,859",475,435,433,86,36,44,142,**,66
"$10,000 under $25,000","1,987","3,013",754,"34,624","1,543","24,819",687,"1,156","1,460","1,424",185,334,183,*       18,236
"$25,000 under $50,000","2,499","4,757","1,428","90,518","2,233","75,012","1,065","1,507","2,323","7,001",568,999,253,**,707
"$50,000 or more      ","3,267","9,311","3,369","316,621","3,055","248,774","2,500","5,354","3,242","47,587","2,234","6,125",528,21,"2,395"
,,,,,,,,,,,,,,,
98373,"10,169","20,668","6,619","468,685","9,051","384,035","4,703","6,154","8,384","53,043","3,371","8,562","1,239",20,"3,901"
"Under $10,000        ","1,385","1,163",245,"3,303","1,123","6,191",380,434,411,94,34,49,146,**,74
"$10,000 under $25,000","2,107","3,187",780,"37,006","1,716","27,866",677,997,"1,590","1,510",198,304,194,**,260
"$25,000 under $50,000","3,094","6,163","1,921","112,737","2,823","96,055","1,246","1,355","2,817","8,231",769,"1,304",340,**,950
"$50,000 or more      ","3,583","10,155","3,673","315,639","3,389","253,923","2,400","3,368","3,566","43,208","2,370","6,905",559,*       20,"2,617"
,,,,,,,,,,,,,,,
98374,"13,228","29,076","10,397","679,576","11,648","553,366","7,004","8,818","10,678","79,572","5,692","14,809","1,621",22,"6,453"
"Under $10,000        ","2,125","1,519",356,"6,818","1,721","8,422",681,454,612,137,47,54,140,**,94
"$10,000 under $25,000","2,356","3,623",957,"40,463","1,825","28,647",879,"1,384","1,673","1,561",303,484,210,*       11,398
"$25,000 under $50,000","3,048","6,588","2,317","113,177","2,687","91,886","1,387","1,764","2,739","7,691","1,055","1,612",340,**,"1,302"
"$50,000 or more      ","5,699","17,346","6,767","519,118","5,415","424,411","4,057","5,216","5,654","70,183","4,287","12,659",931,11,"4,659"
,,,,,,,,,,,,,,,
98375,"6,752","15,664","5,906","336,265","6,208","288,227","3,171","2,635","5,521","35,553","2,859","6,278",824,10,"3,331"
"Under $10,000        ",948,692,177,"3,769",793,"3,938",234,131,312,67,23,16,67,*       10,47
"$10,000 under $25,000","1,153","1,895",583,"20,392",976,"16,177",333,455,795,789,126,212,120,--,166
"$25,000 under $50,000","1,742","4,158","1,616","65,155","1,632","56,738",708,464,"1,524","4,046",633,"1,005",225,**,782
"$50,000 or more      ","2,909","8,919","3,530","246,949","2,807","211,374","1,896","1,585","2,890","30,651","2,077","5,045",412,**,"2,336"
,,,,,,,,,,,,,,,
98376,789,"1,556",416,"29,509",581,"18,111",397,846,575,"3,243",125,343,154,20,190
"Under $10,000        ",182,256,67,639,118,688,58,76,40,7,**,**,43,**,15
"$10,000 under $25,000",218,388,101,"3,778",152,"2,291",87,143,159,138,*       23,*       22,38,**,26
"$25,000 under $50,000",182,406,122,"6,752",136,"4,389",102,189,169,463,32,65,41,**,55
"$50,000 or more      ",207,506,126,"18,340",175,"10,743",150,438,207,"2,635",70,256,32,*       20,94
,,,,,,,,,,,,,,,
98377,794,"1,587",476,"22,835",667,"18,975",374,366,553,"1,994",82,166,114,30,133
"Under $10,000        ",195,228,53,-135,151,752,62,70,44,7,**,**,34,*       15,**
"$10,000 under $25,000",217,402,113,"3,599",166,"2,388",83,61,148,112,*       13,*       23,27,**,*       30
"$25,000 under $50,000",226,515,158,"8,252",206,"6,913",110,82,206,587,24,25,24,*       15,40
"$50,000 or more      ",156,442,152,"11,119",144,"8,922",119,153,155,"1,288",45,118,29,**,63
,,,,,,,,,,,,,,,
98378,44,65,11,"1,258",24,917,14,2,24,113,**,**,**,--,18
"Under $10,000        ",12,14,2,78,*       10,*        122,**,**,--,--,--,--,**,--,**
"$10,000 under $25,000",16,17,1,250,**,**,**,**,**,**,--,--,**,--,*       18
"$25,000 under $50,000",*       16,*       34,*        8,*        930,*       14,*        795,*       14,*        2,*       24,*        113,**,**,--,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,**,--,**
,,,,,,,,,,,,,,,
98380,"2,035","4,223","1,224","102,825","1,640","76,263","1,224","2,159","1,655","12,264",767,"1,790",301,24,922
"Under $10,000        ",304,248,41,767,236,"1,139",100,51,69,11,10,17,33,**,20
"$10,000 under $25,000",374,579,128,"6,356",253,"3,994",157,350,279,248,52,70,45,*       14,66
"$25,000 under $50,000",492,"1,037",290,"18,311",385,"12,748",292,418,449,"1,258",167,261,82,**,217
"$50,000 or more      ",865,"2,359",765,"77,391",766,"58,382",675,"1,340",858,"10,747",538,"1,442",141,10,619
,,,,,,,,,,,,,,,
98381,125,253,67,"4,630",98,"3,321",67,144,98,445,22,50,19,--,32
"Under $10,000        ",15,11,0,79,**,**,**,**,**,**,--,--,**,--,**
"$10,000 under $25,000",37,68,14,665,*       32,*        376,*       28,*       42,*       27,*         20,*       12,*       25,**,--,**
"$25,000 under $50,000",44,98,33,"1,617",41,"1,315",20,51,42,118,**,**,*       19,--,*       19
"$50,000 or more      ",29,76,20,"2,269",25,"1,630",19,51,29,307,10,25,**,--,13
,,,,,,,,,,,,,,,
98382,"10,906","20,486","4,157","458,137","6,235","194,866","7,611","27,186","8,136","54,910","3,115","11,047","1,806",158,"3,732"
"Under $10,000        ","1,991","2,332",377,"4,553","1,122","5,960",963,"1,584",401,111,142,145,327,27,251
"$10,000 under $25,000","2,977","5,023",940,"50,923","1,582","23,557","1,794","4,240","2,043","1,636",465,830,405,26,603
"$25,000 under $50,000","2,767","5,696","1,250","100,798","1,580","46,865","2,049","6,012","2,540","6,919",794,"1,769",471,35,978
"$50,000 or more      ","3,171","7,435","1,590","301,863","1,951","118,484","2,805","15,350","3,152","46,244","1,714","8,303",603,70,"1,900"
,,,,,,,,,,,,,,,
98383,"10,023","20,169","6,220","488,612","8,604","371,962","5,686","9,818","8,241","60,113","3,459","9,383","1,118",29,"3,954"
"Under $10,000        ","1,488","1,086",215,"3,231","1,191","6,138",521,407,461,85,37,43,110,**,70
"$10,000 under $25,000","2,090","3,026",678,"36,602","1,707","28,363",743,981,"1,599","1,603",175,283,159,*       13,242
"$25,000 under $50,000","2,674","5,434","1,624","97,781","2,286","78,117","1,396","1,771","2,430","7,100",716,"1,248",261,**,899
"$50,000 or more      ","3,771","10,623","3,703","350,998","3,420","259,344","3,026","6,659","3,751","51,325","2,531","7,809",588,16,"2,743"
,,,,,,,,,,,,,,,
98384,430,853,211,"20,167",345,"14,704",262,442,361,"2,216",176,391,72,**,205
"Under $10,000        ",56,65,19,-154,38,218,23,14,14,3,**,**,*       20,--,**
"$10,000 under $25,000",70,100,15,"1,214",55,825,32,66,54,49,*       12,*       13,**,**,*       21
"$25,000 under $50,000",137,267,63,"5,145",104,"3,356",85,80,126,364,54,97,24,--,61
"$50,000 or more      ",167,421,114,"13,962",148,"10,305",122,282,167,"1,800",110,281,28,**,123
,,,,,,,,,,,,,,,
98385,490,"1,122",402,"23,218",431,"18,236",233,311,398,"2,663",163,236,60,11,205
"Under $10,000        ",65,62,16,79,52,272,21,13,22,4,**,**,**,*       11,**
"$10,000 under $25,000",102,167,44,"1,769",81,"1,332",35,54,71,69,*       12,*        7,*       20,**,*       22
"$25,000 under $50,000",145,331,119,"5,299",128,"4,070",59,44,127,347,48,73,21,**,66
"$50,000 or more      ",178,562,223,"16,071",170,"12,562",118,200,178,"2,243",103,156,19,**,117
,,,,,,,,,,,,,,,
98386,247,468,118,"12,455",182,"8,354",164,665,208,"1,461",100,251,41,**,115
"Under $10,000        ",36,25,1,67,23,86,17,24,11,1,**,**,**,--,*       13
"$10,000 under $25,000",45,64,10,771,25,386,23,12,37,32,**,**,*       17,--,**
"$25,000 under $50,000",57,91,14,"2,094",38,"1,236",39,129,53,180,*       27,*       43,**,**,22
"$50,000 or more      ",109,288,93,"9,523",96,"6,646",85,500,107,"1,248",73,208,24,--,80
