zipcode,adjusted_gross_income_size,returns,joint_returns,paid_preparer_number_of_returns,number_of_exemptions_total,dependent_number_of_returns,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,ordinary_dividends_number_of_returns,ordinary_dividends_amounts,qualified_dividends_number_of_returns,qualified_dividends_amounts,business_net_income_number_of_returns,business_net_income_amount,farm_number_of_returns,net_capital_gain_in_agi_number_of_returns,net_capital_gain_in_agi_amount,taxable_individual_retirement_arrangement_distributions_number_of_returns,taxable_individual_retirement_arrangement_distributions_amount,pensions_and_annuities_in_agi_number_of_returns,pensions_and_annuities_in_agi_amount,unemployment_compensation_in_agi_number_of_returns,unemployment_compensation_in_agi_amount,social_security_benefits_in_agi_number_of_returns,social_security_benefits_in_agi_amount,self_employment_retirement_plans_number_of_returns,self_employment_retirement_plans_amount,total_itemized_deductions_number_of_returns,total_itemized_deductions_amount,state_and_local_income_taxes_number_of_returns,state_and_local_income_taxes_amount,state_and_local_general_sales_taxes_number_of_returns,state_and_local_general_sales_taxes_amount,real_estate_taxes_number_of_returns,real_estate_taxes_amount,taxes_paid_number_of_returns,taxes_paid_amount,mortgage_interest_paid_number_of_returns,mortgage_interest_paid_amount,contributions_number_of_returns,contributions_amount,taxable_income_number_of_returns,taxable_income_amount,total_tax_credits_number_of_returns,total_tax_credits_amount,residential_energy_credit_number_of_returns,residential_energy_credit_amount,child_tax_credit_number_of_returns,child_tax_credit_amount,child_and_dependent_care_credit_number_of_returns,child_and_dependent_care_credit_amount,additional_child_tax_credit_number_of_returns,additional_child_tax_credit_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,earned_income_credit_refundable_number_of_returns,earned_income_credit_refundable_amount,alternative_minimum_tax_number_of_returns,alternative_minimum_tax_amount,income_tax_number_of_returns,income_tax_amount,total_tax_liability_number_of_returns,total_tax_liability_amount,tax_due_at_time_of_filing_number_of_returns,tax_due_at_time_of_filing_amount,overpayments_refunded_number_of_returns,overpayments_refunded_amount
98251,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98252,,"3,850","1,729","1,824","8,223","2,696","202,960","3,334","164,621","1,441","2,644",584,791,470,523,425,"3,699",30,332,"2,150",225,"3,260",687,"11,906",630,"5,950",358,"3,963",0,0,"1,604","34,316",43,113,"1,286","2,250","1,543","4,729","1,591","7,490","1,520","19,864","1,050","2,108","3,139","125,484","1,270","1,634",148,116,874,"1,177",152,77,456,610,579,"1,129",493,"1,003",0,0,"2,829","18,542","2,997","19,497",537,"1,208","3,178","9,215"
98252,"$1 under $25,000",1269,193,567,1911,549,16255,959,11244,276,362,91,131,69,81,139,830,**,61,-11,43,346,178,1506,222,1832,43,63,0,0,138,2262,23,24,102,78,125,338,136,434,118,1220,65,75,605,3682,127,49,**,**,52,20,**,**,230,280,402,836,347,763,0,0,511,345,631,520,145,98,1029,1964
98252,"$25,000 under $50,000",952,305,428,1922,632,35079,841,28094,285,272,104,159,78,104,89,907,**,55,-67,51,438,156,2453,184,1861,121,781,0,0,309,5225,**,**,243,260,291,730,304,1031,287,3056,178,205,914,17863,352,314,28,17,242,240,41,17,165,249,177,293,146,240,0,0,758,1928,795,2101,97,128,845,2332
98252,"$50,000 under $75,000",675,401,334,1667,583,41370,629,34720,295,447,109,145,93,88,76,697,30,65,25,48,528,127,2333,120,1269,83,1095,0,0,407,8182,**,**,315,461,391,1085,404,1651,390,4898,258,389,667,24461,297,472,39,26,235,375,35,18,61,81,0,0,0,0,0,0,615,2943,625,3118,93,173,575,1876
98252,"$75,000 under $100,000",506,410,254,1385,466,43749,478,37492,261,479,109,128,90,80,57,527,**,53,291,50,947,115,2296,66,620,60,1109,0,0,375,8555,20,89,323,665,367,1134,374,1939,358,4898,252,519,505,28803,266,465,42,37,202,349,36,21,**,**,0,0,0,0,0,0,498,3743,499,3912,66,123,429,1630
98252,"$100,000 under $200,000",422,395,218,1260,439,53045,406,45440,301,354,171,228,140,170,64,738,**,98,1912,33,1001,111,3318,38,368,51,915,0,0,354,9180,**,**,303,786,348,1301,352,2184,367,5792,297,920,422,38447,228,334,39,36,143,193,40,21,**,**,0,0,0,0,0,0,421,6139,421,6331,136,686,300,1413
98252,"$200,000 or more",26,25,23,78,27,13462,21,7631,23,730,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,21,912,**,**,**,**,21,141,21,251,**,**,**,**,26,12228,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,26,3444,26,3515,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98253,,874,467,422,"1,562",239,"52,663",526,"24,322",558,"1,964",370,"3,436",320,"2,732",192,"1,948",0,274,614,149,"3,128",328,"9,718",56,434,260,"3,229",0,0,444,"12,013",0,0,337,665,417,"1,708",438,"2,752",355,"5,220",348,"1,301",668,"33,245",231,219,43,46,62,66,0,0,45,48,98,123,65,85,0,0,617,"5,484",682,"6,004",197,783,572,"1,520"
98253,"$1 under $25,000",300,81,128,410,50,3538,141,1620,137,274,97,270,78,115,66,385,0,70,-116,40,214,85,791,26,195,32,72,0,0,72,1410,0,0,52,44,60,184,69,245,46,406,51,64,121,675,23,9,0,0,24,15,0,0,22,20,98,123,65,85,0,0,101,61,147,137,41,18,199,298
98253,"$25,000 under $50,000",207,104,98,359,46,7423,123,3416,126,345,79,281,70,184,49,647,0,66,6,37,418,82,1790,**,**,81,513,0,0,101,2087,0,0,74,86,90,284,99,397,75,874,68,141,184,3300,57,28,**,**,**,**,0,0,23,28,**,**,**,**,0,0,164,360,180,493,52,51,137,305
98253,"$50,000 under $75,000",134,98,64,307,91,8334,96,4492,94,236,55,360,48,220,51,521,0,36,-13,22,316,52,1597,30,239,56,826,0,0,85,2028,0,0,68,101,82,272,84,407,73,964,66,143,131,4678,58,65,**,**,38,51,0,0,**,**,0,0,0,0,0,0,123,547,125,608,34,66,94,256
98253,"$75,000 under $100,000",84,56,42,156,**,7255,56,3608,69,160,44,194,39,125,**,**,0,30,169,21,481,42,1702,**,**,35,610,0,0,59,1435,0,0,46,123,59,224,59,366,47,638,48,153,83,4982,30,20,43,46,**,**,0,0,0,0,0,0,0,0,0,0,83,715,84,766,21,65,58,181
98253,"$100,000 under $200,000",125,128,90,278,52,16372,110,11186,110,546,95,2331,85,2088,26,395,0,72,568,29,1699,67,3838,**,**,56,1208,0,0,105,3350,0,0,97,311,104,544,105,865,114,2338,115,800,125,11755,63,97,**,**,**,**,0,0,**,**,0,0,0,0,0,0,122,1939,122,2016,49,583,84,480
98253,"$200,000 or more",24,**,**,52,**,9741,**,**,22,403,**,**,**,**,**,**,0,**,**,**,**,**,**,0,0,**,**,0,0,22,1703,0,0,**,**,22,200,22,472,**,**,**,**,24,7855,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,24,1862,24,1984,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98257,,"2,053","1,001","1,130","3,898",866,"121,677","1,354","63,466","1,178","5,365",780,"5,148",691,"3,432",391,"4,734",0,623,"4,305",309,"5,325",681,"15,807",156,"1,351",618,"8,265",0,0,828,"20,630",31,89,649,"1,382",767,"3,166",823,"5,051",653,"8,490",669,"2,112","1,609","80,247",600,560,97,96,224,299,33,17,158,209,237,496,211,435,49,180,"1,468","13,190","1,584","14,056",427,"1,465","1,384","4,171"
98257,"$1 under $25,000",692,152,329,1031,231,8682,424,4813,294,570,187,562,158,303,128,862,0,139,-150,74,569,176,1661,44,360,71,120,0,0,123,2779,**,**,91,83,106,330,120,467,79,1004,85,161,282,1743,65,18,**,**,21,8,**,**,91,101,171,370,153,332,**,**,234,171,324,314,82,68,485,959
98257,"$25,000 under $50,000",482,191,265,889,204,17443,295,9260,235,818,160,642,143,371,73,815,0,132,6,70,712,169,3114,45,373,177,1191,0,0,154,3402,**,**,123,176,141,456,153,711,124,1348,119,225,452,8284,160,106,**,**,72,65,**,**,67,108,66,126,58,103,26,58,378,902,401,1082,90,157,365,1018
98257,"$50,000 under $75,000",326,196,188,707,179,20177,238,12610,188,997,137,727,124,497,60,683,0,101,23,49,796,100,2492,29,301,126,1929,0,0,175,3639,**,**,144,226,161,556,175,844,136,1516,137,304,323,12461,145,176,48,42,66,116,33,17,**,**,0,0,0,0,**,**,312,1555,313,1678,79,174,221,744
98257,"$75,000 under $100,000",237,199,150,542,104,20642,165,10498,188,580,115,442,104,297,59,860,0,104,588,58,1102,117,3673,38,317,121,2310,0,0,147,3377,31,89,116,230,140,536,147,855,125,1601,125,257,236,14212,91,117,**,**,37,64,**,**,**,**,0,0,0,0,**,**,229,1866,231,1997,59,185,152,565
98257,"$100,000 under $200,000",260,218,157,598,119,33918,190,18794,219,1439,143,1619,130,1153,71,1514,0,115,885,58,2146,119,4867,**,**,103,2253,0,0,180,5551,**,**,136,473,170,814,179,1469,154,2300,159,886,260,25215,139,143,49,54,28,46,**,**,**,**,0,0,0,0,**,**,259,4247,259,4453,92,503,161,885
98257,"$200,000 or more",56,45,41,131,29,20815,42,7491,54,961,38,1156,32,811,**,**,0,32,2953,**,**,**,**,**,**,20,462,0,0,49,1882,**,**,39,194,49,474,49,705,35,721,44,279,56,18332,**,**,**,**,0,0,0,0,0,0,0,0,0,0,23,122,56,4449,56,4532,25,378,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98258,,"13,999","6,574","6,037","30,364","10,337","860,495","12,329","698,674","6,355","9,357","2,853","4,856","2,423","3,009","1,843","19,724",24,"1,694","22,979",920,"14,186","2,240","41,246","1,725","16,584","1,176","13,326",37,359,"6,562","154,756",153,514,"5,332","9,879","6,280","23,737","6,499","35,698","6,100","87,852","5,004","12,424","11,640","554,505","5,260","7,169",564,483,"3,409","4,701",753,396,"1,465","1,953","1,666","3,369","1,441","2,917",132,374,"10,560","84,506","11,114","89,046","2,107","7,545","11,301","35,826"
98258,"$1 under $25,000",4015,552,1501,5284,1422,48273,3118,35714,1090,1281,458,727,389,388,431,3018,**,293,-333,181,1101,462,4001,429,3785,150,243,**,**,427,8124,**,**,323,239,377,1280,413,1594,318,3715,243,359,1892,11557,466,176,**,**,148,52,41,13,643,757,1054,2380,927,2082,0,0,1580,1070,1926,1620,361,178,3275,5823
98258,"$25,000 under $50,000",3185,971,1367,6401,2150,117170,2818,95815,1075,1260,399,645,326,350,384,3433,24,261,30,192,1860,471,7335,522,5586,354,2201,**,**,1040,19373,35,73,815,888,967,3379,1019,4445,917,10460,675,1203,2982,59243,1242,1153,74,47,814,801,153,76,599,889,612,989,514,835,**,**,2440,6290,2587,7120,380,488,2741,7857
98258,"$50,000 under $75,000",2441,1365,1146,5920,2076,151841,2240,129001,1232,1141,505,511,419,293,369,3960,**,302,394,197,2428,445,8236,339,3134,288,4033,**,**,1462,30744,29,54,1159,1679,1385,4571,1451,6631,1374,17796,1041,2140,2417,90825,1182,1801,135,106,901,1402,146,73,187,260,0,0,0,0,**,**,2235,11084,2282,11966,417,981,1985,7051
98258,"$75,000 under $100,000",1958,1506,852,5501,2029,169515,1865,149026,1201,1341,557,653,476,436,297,2230,**,290,499,155,2381,379,7417,214,1955,189,3385,37,359,1536,35414,30,83,1277,2377,1487,5115,1530,7949,1466,20908,1220,2667,1953,109476,1099,2042,122,102,857,1491,177,102,36,47,0,0,0,0,**,**,1915,14019,1925,14693,283,718,1645,6645
98258,"$100,000 under $200,000",2179,1975,1013,6568,2397,282285,2086,246919,1555,2444,806,1288,700,892,311,4550,**,444,2643,195,6416,440,10935,221,2124,195,3464,**,**,1891,51650,59,304,1583,3963,1861,7555,1880,12350,1841,30504,1633,4611,2175,203880,1180,1758,206,196,689,955,236,132,**,**,0,0,0,0,45,63,2169,33428,2173,34656,581,2463,1549,6845
98258,"$200,000 or more",221,205,158,690,263,91411,202,42199,202,1890,128,1032,113,650,51,2533,**,104,19746,**,**,43,3322,**,**,**,**,**,**,206,9451,**,**,175,733,203,1837,206,2729,184,4469,192,1444,221,79524,91,239,27,32,**,**,**,**,0,0,0,0,0,0,87,311,221,18615,221,18991,85,2717,106,1605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98260,,"2,666","1,218","1,317","4,794","1,027","168,358","1,794","92,344","1,527","4,841","1,035","7,604",888,"4,217",739,"14,562",28,807,"7,041",346,"7,435",737,"20,390",189,"1,522",603,"7,737",41,659,"1,209","34,587",53,555,869,"1,847","1,143","4,474","1,201","7,971",955,"14,396","1,020","5,288","2,060","109,817",800,"1,515",154,158,281,372,48,27,119,147,268,375,193,266,59,325,"1,911","18,206","2,117","20,139",639,"3,019","1,731","4,898"
98260,"$1 under $25,000",938,149,389,1111,145,10747,544,5859,382,667,234,630,197,313,258,1953,**,184,-147,73,562,168,1567,65,495,48,89,**,**,188,3278,**,**,120,98,160,408,184,662,121,1188,142,197,395,2456,85,30,**,**,**,**,**,**,55,62,200,292,141,202,**,**,342,225,512,555,164,116,618,847
98260,"$25,000 under $50,000",600,221,289,1035,215,21766,401,12442,313,781,207,854,176,481,157,2009,28,171,360,82,821,178,3437,59,556,179,1208,**,**,238,4749,25,182,160,204,215,676,235,954,173,2164,185,407,550,10563,196,145,36,22,96,88,26,13,64,85,68,83,52,64,0,0,485,1109,513,1448,129,243,426,950
98260,"$50,000 under $75,000",394,232,207,804,175,24279,271,13565,263,839,186,958,159,592,112,1530,**,121,43,70,1144,136,3671,35,249,159,2327,**,**,220,5665,**,**,165,275,213,736,219,1667,177,2248,181,577,386,14442,173,193,37,38,64,91,**,**,**,**,0,0,0,0,0,0,367,1790,371,2060,108,229,260,820
98260,"$75,000 under $100,000",269,215,140,659,175,23139,204,13873,195,661,133,550,117,363,70,1293,**,96,456,50,998,85,3473,30,222,89,1539,**,**,178,4614,**,**,140,260,174,637,178,1007,153,2269,156,412,266,15271,133,213,33,42,64,111,**,**,**,**,0,0,0,0,0,0,256,1966,259,2244,72,233,175,680
98260,"$100,000 under $200,000",367,314,216,934,251,49284,302,31532,286,1029,206,1190,175,730,108,2238,**,167,1404,71,3910,135,6442,**,**,102,1958,41,659,300,9350,28,373,228,662,297,1315,300,2318,262,4639,276,986,365,35834,172,323,48,56,57,82,22,14,0,0,0,0,0,0,**,**,363,5914,364,6269,125,538,217,1169
98260,"$200,000 or more",98,87,76,251,66,39143,72,15073,88,864,69,3422,64,1738,34,5539,**,68,4925,**,**,35,1800,**,**,26,616,**,**,85,6931,**,**,56,348,84,702,85,1363,69,1888,80,2709,98,31251,41,611,**,**,0,0,**,**,0,0,0,0,0,0,59,325,98,7202,98,7563,41,1660,35,432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98261,,"1,204",564,665,"2,110",403,"64,452",726,"25,166",760,"3,821",492,"5,595",427,"4,250",361,"4,207",54,410,"4,043",153,"3,228",321,"8,855",62,460,316,"4,035",0,0,423,"12,641",23,296,343,749,394,"1,670",416,"2,907",278,"3,584",348,"2,427",877,"40,155",314,498,54,93,75,87,0,0,88,119,162,264,113,188,22,151,770,"6,167",915,"6,959",309,788,680,"1,847"
98261,"$1 under $25,000",509,115,229,689,129,5862,291,2907,241,440,136,418,112,250,157,1219,28,106,123,32,250,71,656,26,153,26,45,0,0,73,1377,0,0,61,53,66,212,70,283,42,461,54,95,211,1203,27,7,**,**,**,**,0,0,46,54,136,213,113,188,0,0,173,112,278,339,108,101,295,490
98261,"$25,000 under $50,000",297,140,161,570,131,10745,192,5619,192,496,115,456,97,308,96,1327,**,96,14,38,459,82,1568,36,307,98,640,0,0,110,2223,**,**,93,119,101,277,109,419,68,652,81,222,271,4961,99,65,32,39,55,57,0,0,42,65,26,51,**,**,0,0,223,501,257,716,73,86,189,450
98261,"$50,000 under $75,000",151,105,105,302,46,9158,88,3439,118,609,85,808,79,533,44,346,26,66,-3,32,438,60,1725,**,**,76,1093,0,0,76,1737,23,296,63,130,69,232,75,392,52,634,64,178,148,5519,67,67,**,**,**,**,0,0,**,**,0,0,0,0,0,0,140,631,144,728,50,99,78,262
98261,"$75,000 under $100,000",101,78,72,216,36,8671,63,3523,83,349,51,627,42,449,28,554,**,54,608,22,664,41,1473,**,**,43,861,0,0,49,1339,**,**,39,109,47,216,48,347,34,408,44,188,101,5964,43,61,**,**,20,30,0,0,**,**,0,0,0,0,0,0,92,732,93,821,34,101,48,217
98261,"$100,000 under $200,000",111,93,72,251,61,14194,70,5611,93,841,78,842,73,609,36,761,**,62,715,29,1417,67,3433,**,**,73,1396,0,0,81,2473,**,**,65,246,77,401,80,754,56,781,74,416,111,10439,58,90,22,54,**,**,0,0,0,0,0,0,0,0,22,151,107,1612,108,1729,44,401,70,428
98261,"$200,000 or more",35,33,26,82,**,15822,22,4067,33,1086,27,2444,24,2101,**,**,**,26,2586,**,**,**,**,0,0,**,**,0,0,34,3492,**,**,22,92,34,332,34,712,26,648,31,1328,35,12069,20,208,**,**,0,0,0,0,0,0,0,0,0,0,**,**,35,2579,35,2626,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98262,,478,219,247,838,155,"50,839",311,"14,136",305,"1,572",188,"1,986",165,"1,671",152,"1,549",0,140,"24,464",67,"1,753",145,"3,430",30,328,116,"1,387",0,0,193,"9,029",0,0,146,227,178,829,190,"1,173",130,"1,817",150,"5,020",345,"37,319",115,132,26,25,43,57,0,0,27,37,60,95,43,74,0,0,321,"5,907",366,"6,215",129,"3,444",293,810
98262,"$1 under $25,000",200,29,84,258,43,2167,112,1219,93,206,53,149,45,83,62,361,0,45,-41,**,**,40,319,30,328,**,**,0,0,42,618,0,0,34,22,32,68,40,94,**,**,24,43,74,440,**,**,**,**,**,**,0,0,27,37,60,95,43,74,0,0,68,42,106,104,40,27,125,193
98262,"$25,000 under $50,000",104,51,55,185,30,3849,67,1990,68,169,43,124,39,73,33,318,0,43,66,46,670,35,660,**,**,52,267,0,0,45,928,0,0,39,41,43,137,45,193,50,503,33,66,98,1752,43,30,26,25,**,**,0,0,**,**,**,**,**,**,0,0,84,181,90,242,26,43,74,143
98262,"$50,000 under $75,000",60,41,35,127,39,3662,45,1782,47,81,28,104,42,130,33,321,0,**,**,**,**,39,1150,**,**,37,561,0,0,27,635,0,0,37,63,26,106,27,156,34,427,43,136,59,2210,38,50,**,**,43,57,0,0,**,**,0,0,0,0,0,0,56,274,57,318,26,94,38,109
98262,"$75,000 under $100,000",39,32,24,84,**,3416,27,2011,34,278,20,103,**,**,**,**,0,22,73,21,1083,**,**,**,**,**,**,0,0,22,501,0,0,**,**,22,89,22,127,**,**,**,**,39,2401,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,39,320,39,346,**,**,23,74
98262,"$100,000 under $200,000",75,66,49,184,43,37745,60,7134,63,838,44,1506,39,1385,24,549,0,30,24366,**,**,31,1301,**,**,27,559,0,0,57,6347,0,0,36,101,55,429,56,603,46,887,50,4775,75,30516,34,52,**,**,**,**,0,0,0,0,0,0,0,0,0,0,74,5090,74,5205,37,3280,33,291
98262,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98264,,"8,493","4,517","4,329","18,813","6,285","449,969","6,930","308,232","4,535","16,031","1,949","7,299","1,660","5,312","1,219","17,984",162,"1,463","14,954",786,"9,510","1,540","29,796",659,"4,595","1,206","12,928",48,521,"3,196","72,634",80,392,"2,623","5,419","2,991","8,479","3,177","15,157","2,660","31,071","2,660","15,270","6,632","276,673","3,089","4,772",375,304,"1,801","2,659",233,101,"1,047","1,553","1,033","2,045",877,"1,769",96,247,"5,808","39,706","6,259","43,280","1,505","6,515","6,295","17,619"
98264,"$1 under $25,000",3098,630,1389,4095,960,36794,2327,26517,1197,2934,494,1030,415,435,311,2265,35,333,-307,236,1314,460,3668,211,1289,157,223,**,**,354,6270,**,**,280,480,305,795,349,1279,220,1919,262,787,1388,8033,332,105,**,**,93,31,**,**,441,546,649,1414,574,1265,0,0,1173,752,1433,1174,373,199,2297,4072
98264,"$25,000 under $50,000",1986,955,985,4467,1465,72736,1630,54586,939,2125,350,736,296,373,281,2984,38,256,317,182,1587,374,6356,206,1659,409,2463,**,**,616,11062,**,**,494,646,536,1394,605,2302,474,4639,468,1671,1848,34003,802,671,65,39,486,457,63,26,408,682,384,631,303,504,0,0,1460,3447,1582,4136,302,364,1613,4259
98264,"$50,000 under $75,000",1521,1187,818,4331,1595,93808,1302,71274,957,2435,388,900,335,523,280,2818,24,283,561,159,1999,338,8151,150,994,314,4198,27,129,803,15805,48,150,656,1000,764,1803,800,3045,695,7413,662,2714,1510,54383,845,1386,122,88,597,1007,62,25,168,262,0,0,0,0,**,**,1335,5813,1392,6462,277,547,1180,3752
98264,"$75,000 under $100,000",917,832,500,2808,1048,79388,799,59271,640,1831,298,726,259,536,176,2555,25,214,1138,106,1756,186,6010,57,367,177,3083,**,**,615,13267,**,**,511,991,594,1598,615,2816,555,6557,532,2337,916,52269,553,1112,92,79,360,712,57,26,30,63,0,0,0,0,29,38,883,6149,892,6716,200,702,678,2500
98264,"$100,000 under $200,000",790,741,483,2549,1007,101313,716,73770,627,3343,301,794,252,489,136,2604,40,269,3797,81,2152,151,4320,35,286,116,2323,21,392,648,17831,32,242,540,1538,634,2068,648,3961,590,8300,588,3909,789,72492,475,1105,96,98,265,452,51,24,**,**,0,0,0,0,**,**,776,10937,779,11612,262,1313,474,2328
98264,"$200,000 or more",181,172,154,563,210,65930,156,22814,175,3363,118,3113,103,2956,35,4758,**,108,9448,22,702,31,1291,**,**,33,638,**,**,160,8399,**,**,142,764,158,821,160,1754,126,2243,148,3852,181,55493,82,393,**,**,**,**,**,**,0,0,0,0,0,0,67,209,181,12608,181,13180,91,3390,53,708
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98266,,"1,530",636,665,"3,262","1,082","67,104","1,326","42,992",407,532,130,337,99,204,208,"1,625",0,114,"4,923",56,759,181,"3,000",263,"1,971",117,923,0,0,333,"6,034",0,0,260,384,312,673,332,"1,187",301,"3,020",190,509,"1,101","42,321",467,601,61,44,265,316,22,10,278,394,419,870,364,769,0,0,913,"7,360","1,023","7,688",181,338,"1,283","3,460"
98266,"$1 under $25,000",722,139,283,1261,412,8832,568,6732,115,89,36,41,25,27,105,662,0,35,-16,30,197,65,594,104,664,**,**,0,0,52,665,0,0,43,34,45,75,52,112,44,421,22,19,318,1806,103,30,25,16,39,10,22,10,162,196,298,659,259,589,0,0,244,163,328,295,60,40,612,1353
98266,"$25,000 under $50,000",446,211,204,1039,364,16058,414,13940,129,99,34,61,43,45,47,428,0,29,39,**,**,37,671,83,552,66,257,0,0,104,1578,0,0,78,86,98,164,103,262,96,803,52,129,422,7625,188,163,**,**,113,112,**,**,93,161,121,211,105,180,0,0,329,765,348,830,43,47,394,1197
98266,"$50,000 under $75,000",221,163,106,583,194,13368,213,10881,79,87,36,40,**,**,56,535,0,30,191,26,562,45,880,49,525,31,356,0,0,95,1778,0,0,77,107,91,177,95,309,87,930,53,140,220,8123,108,167,36,28,77,132,**,**,23,37,0,0,0,0,0,0,201,922,206,1000,40,67,178,511
98266,"$75,000 under $100,000",84,74,37,241,80,7073,81,5877,44,12,**,**,31,132,**,**,0,**,**,**,**,34,855,27,230,20,310,0,0,39,852,0,0,32,78,37,72,39,158,37,385,27,61,84,4815,39,76,**,**,36,62,**,**,**,**,0,0,0,0,0,0,82,608,84,633,38,184,65,215
98266,"$100,000 under $200,000",57,49,35,138,32,21773,50,5562,40,245,24,195,**,**,**,**,0,20,4709,**,**,**,**,**,**,**,**,0,0,43,1161,0,0,30,79,41,185,43,346,37,481,36,160,57,19952,29,165,**,**,**,**,**,**,0,0,0,0,0,0,0,0,57,4902,57,4930,**,**,34,184
98266,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98267,,262,86,108,451,117,"9,005",204,"6,636",111,129,46,56,35,28,36,23,0,38,141,0,0,61,"1,296",44,294,26,198,0,0,61,929,0,0,48,56,54,124,60,204,49,444,39,63,180,"5,369",63,60,0,0,30,33,0,0,26,33,56,97,48,80,0,0,163,726,185,795,45,75,196,433
98267,"$1 under $25,000",123,24,77,178,45,1357,82,875,39,63,**,**,**,**,36,23,0,**,**,0,0,23,237,**,**,**,**,0,0,32,434,0,0,27,20,29,58,32,80,24,229,**,**,41,248,**,**,0,0,**,**,0,0,26,33,56,97,48,80,0,0,33,21,52,47,**,**,88,158
98267,"$25,000 under $50,000",76,39,**,137,39,2687,66,2015,34,18,46,56,35,28,**,**,0,38,141,0,0,38,1059,44,294,26,198,0,0,**,**,0,0,**,**,**,**,**,**,**,**,39,63,76,1466,37,25,0,0,30,33,0,0,**,**,**,**,**,**,0,0,68,159,71,180,45,75,58,144
98267,"$50,000 under $75,000",39,**,31,75,33,2365,32,1839,38,48,**,**,**,**,**,**,0,**,**,0,0,**,**,**,**,**,**,0,0,29,495,0,0,21,36,25,66,28,124,25,215,**,**,39,1667,26,35,0,0,**,**,0,0,**,**,0,0,0,0,0,0,38,236,38,248,**,**,50,131
98267,"$75,000 under $100,000",24,23,**,61,**,2596,24,1907,**,**,**,**,**,**,**,**,0,**,**,0,0,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,24,1988,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,24,310,24,320,**,**,**,**
98267,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,0,0,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**
98267,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,0,0,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
