adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$100,000 or more     ",1754,3670,883,490848,1559,271601,1539,10041,1292,22124,1226,110476,491,26691,*,*,61,281,168,3547,1497,427435,57800,1381,407833,15294,1488,424244,16925,284,1232,1753,99864,1754,100076,0,0,1018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98124,760,1410,370,125715,529,86747,560,3771,458,8721,418,15063,69,1317,0,0,*,*,0,0,372,81036,16163,276,64134,3723,357,79214,2412,74,206,651,23970,627,18890,16,27,560
"Under $10,000        ",69,75,2,-115,20,212,39,24,40,143,38,10,19,81,0,0,0,0,0,0,19,99,677,*,*,*,20,69,24,0,0,13,2,19,13,16,27,43
"$10,000 under $25,000",93,127,23,1575,45,1308,49,82,49,351,41,32,*,*,0,0,0,0,0,0,30,471,913,21,272,46,27,433,54,0,0,64,56,57,60,*,*,61
"$25,000 under $50,000",146,213,45,5569,100,4740,90,197,61,403,62,255,13,149,0,0,*,*,0,0,67,2602,1827,44,1764,134,64,2482,164,0,0,127,422,120,459,0,0,91
"$50,000 under $75,000",118,177,31,7292,94,6556,77,304,55,500,44,161,15,169,0,0,0,0,0,0,68,4185,1349,50,3079,160,65,3990,261,0,0,115,807,112,779,0,0,76
"$75,000 under $100,000",78,161,36,6800,57,6951,69,189,49,375,47,521,*,*,0,0,0,0,0,0,47,4103,1218,35,3070,96,47,4103,236,0,0,77,764,73,616,0,0,62
"$100,000 or more     ",256,657,233,104594,213,66980,236,2975,204,6949,186,14084,22,918,0,0,*,*,0,0,141,69576,10179,126,55949,3287,134,68137,1673,74,206,255,21919,246,16963,0,0,227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98125,17342,29486,6651,900986,14359,651816,9123,18328,5455,20071,4537,59645,2640,46449,*,*,522,1878,266,3097,5990,533859,116112,5078,481675,15158,5927,526800,30673,258,931,14521,116148,14222,117330,1485,1922,7257
"Under $10,000        ",2745,3352,396,9167,1972,10516,859,712,515,957,472,66,379,295,0,0,21,55,*,*,167,983,2634,93,595,122,202,-1583,571,*,*,611,115,893,369,697,492,1022
"$10,000 under $25,000",3967,5518,1051,69223,3132,53030,1422,2231,761,1544,593,390,465,3748,0,0,61,162,17,46,498,9021,7119,365,6641,629,470,8549,1311,0,0,3366,3160,3086,3445,571,1235,1708
"$25,000 under $50,000",4756,7437,1618,172675,4137,142473,2260,3433,1095,2747,836,1543,534,5661,0,0,182,638,34,194,1331,51826,19549,1057,41407,1845,1299,50690,4868,0,0,4687,14407,4419,14211,217,195,1859
"$50,000 under $75,000",2519,4817,1189,154820,2180,123180,1731,3078,996,2825,823,2788,440,5990,0,0,111,425,46,336,1385,86456,23682,1155,72061,2415,1360,84923,5855,*,*,2506,16530,2474,16490,0,0,1060
"$75,000 under $100,000",1458,3459,945,126244,1292,98896,1167,1989,763,2116,611,3092,309,5606,*,*,78,268,39,314,1073,93306,20962,976,84933,2206,1066,92696,5462,18,13,1455,14388,1454,14550,0,0,609
"$100,000 or more     ",1897,4903,1452,368857,1646,223721,1684,6885,1325,9882,1202,51766,513,25149,*,*,69,330,130,2207,1536,292267,42166,1432,276038,7941,1530,291525,12606,240,918,1896,67548,1896,68265,0,0,999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98126,8792,14931,3421,495561,7434,385138,4552,10115,2722,7630,2245,27248,1328,18987,*,*,259,801,114,1392,3892,329299,79393,3268,290973,7594,3848,322974,19177,116,388,7514,63020,7373,64413,816,1324,3826
"Under $10,000        ",1061,1390,255,2624,736,4140,345,296,210,259,185,476,143,441,0,0,*,*,0,0,64,359,865,46,262,43,88,-1895,272,*,*,193,26,302,196,346,362,466
"$10,000 under $25,000",1648,2517,662,28804,1249,21076,565,1003,307,588,247,227,240,2384,*,*,29,79,*,*,278,4924,4680,191,3430,216,271,4816,804,0,0,1303,1152,1191,1473,357,870,789
"$25,000 under $50,000",2475,3736,811,91699,2186,77376,1007,1458,549,785,406,704,300,3115,0,0,93,271,21,117,865,33647,12461,651,25512,872,838,32685,2891,0,0,2429,7797,2302,7791,113,92,955
"$50,000 under $75,000",1598,2833,609,98143,1438,82380,1010,1486,571,1411,453,1105,263,3588,0,0,69,204,25,187,1014,62805,18327,859,53309,1358,999,61935,4328,0,0,1584,10442,1577,10516,0,0,644
"$75,000 under $100,000",936,1950,466,80457,858,66885,691,1091,434,899,340,1305,173,2988,0,0,34,110,20,233,729,62746,14012,649,55955,1244,719,61898,3573,*,*,934,9685,930,9809,0,0,419
"$100,000 or more     ",1074,2505,618,193834,967,133281,934,4781,651,3688,614,23431,209,6471,*,*,34,137,48,855,942,164818,29048,872,152505,3861,933,163535,7309,116,388,1071,33918,1071,34628,0,0,553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98127,495,702,98,29445,374,17156,272,497,156,453,144,3084,133,2128,0,0,19,66,*,*,193,16990,3249,143,14602,316,191,16334,780,*,*,413,4367,434,4662,40,34,255
"Under $10,000        ",72,81,4,-29,23,114,33,27,19,15,23,15,35,143,0,0,*,*,*,*,*,*,*,*,*,*,13,-171,29,0,0,*,*,33,31,26,11,37
"$10,000 under $25,000",124,152,13,2146,94,1502,52,47,21,26,15,19,28,254,0,0,*,*,0,0,44,657,303,16,223,17,34,608,30,0,0,116,113,105,147,14,23,64
"$25,000 under $50,000",126,160,22,4667,111,3889,60,48,29,43,24,126,29,329,0,0,19,66,0,0,37,1404,484,27,1046,17,35,1328,105,0,0,124,435,123,465,*,*,54
"$50,000 under $75,000",79,125,28,4828,71,3924,45,47,28,27,29,52,24,947,0,0,0,0,*,*,43,2682,742,35,2177,46,41,2553,178,0,0,79,577,79,645,0,0,40
"$75,000 under $100,000",36,59,8,3146,27,2070,27,58,19,51,15,160,*,*,0,0,*,*,0,0,22,1957,379,20,1779,28,22,1957,98,0,0,36,434,36,492,0,0,21
"$100,000 or more     ",58,125,23,14687,48,5657,55,270,40,291,38,2712,17,455,0,0,*,*,*,*,47,10290,1341,45,9377,208,46,10059,340,*,*,58,2808,58,2882,0,0,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98133,20320,34920,8318,907093,16926,692649,10113,18774,5552,16187,4523,39419,2878,34911,*,*,585,1936,176,1963,7119,510167,129856,5986,449986,15454,7052,501173,31816,154,621,16941,100198,16657,101406,1913,2571,8880
"Under $10,000        ",3094,3831,503,8590,2264,12999,945,954,509,598,467,-75,442,-284,0,0,19,33,*,*,162,918,2384,101,561,90,209,-2891,630,0,0,651,95,950,396,870,661,1257
"$10,000 under $25,000",4620,6656,1387,80585,3601,60973,1588,2380,804,1718,645,213,603,5351,*,*,89,234,21,66,678,12133,9505,499,8858,852,650,11637,1841,0,0,3833,3491,3614,3995,745,1614,2104
"$25,000 under $50,000",6080,9710,2246,220002,5311,183338,2749,3728,1338,2860,1011,1393,689,7575,*,*,218,689,32,205,1869,72024,28052,1479,57318,2651,1823,70352,6425,0,0,5950,18025,5640,17982,298,296,2540
"$50,000 under $75,000",3234,6396,1653,198638,2844,159737,2124,3701,1157,2909,921,2428,493,6039,0,0,127,441,27,181,1879,116504,34707,1615,100443,3538,1854,114927,7683,18,37,3220,20886,3175,20552,0,0,1405
"$75,000 under $100,000",1728,4247,1281,149159,1543,119308,1337,2330,816,2099,671,3701,338,6046,*,*,70,277,33,445,1251,108288,23943,1107,95963,2744,1240,107347,6260,*,*,1724,16983,1716,16788,0,0,780
"$100,000 or more     ",1564,4080,1248,250119,1363,156294,1370,5681,928,6003,808,31759,313,10184,*,*,62,262,63,1066,1280,200300,31265,1185,186843,5579,1276,199801,8977,136,584,1563,40718,1562,41693,0,0,794
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98134,468,678,136,45278,402,22626,179,2638,116,1010,103,3158,49,522,0,0,*,*,*,*,91,29459,2132,77,24770,348,89,28895,839,*,*,395,10511,386,10090,44,37,247
"Under $10,000        ",71,80,5,204,53,339,14,18,*,*,10,13,21,172,0,0,0,0,0,0,*,*,*,*,*,*,13,135,30,0,0,11,2,17,10,28,9,37
"$10,000 under $25,000",153,209,42,2729,132,2479,32,58,28,43,12,5,*,*,0,0,0,0,0,0,12,196,108,*,*,*,*,*,*,0,0,141,139,132,152,16,28,65
"$25,000 under $50,000",120,162,29,4163,108,3571,41,34,24,55,31,25,18,136,0,0,*,*,0,0,18,665,199,24,695,28,18,665,50,0,0,119,389,114,389,*,*,57
"$50,000 under $75,000",44,75,20,2665,38,2582,24,11,13,18,*,*,*,*,0,0,*,*,0,0,15,938,240,12,767,17,13,829,47,0,0,44,327,43,304,0,0,26
"$75,000 under $100,000",25,42,12,2174,21,1886,19,31,12,31,12,58,10,214,0,0,0,0,0,0,12,1051,197,12,1051,17,12,1051,52,0,0,25,322,25,333,0,0,19
"$100,000 or more     ",55,110,28,33343,50,11769,49,2486,39,863,38,3057,*,*,0,0,0,0,*,*,34,26609,1388,29,22257,286,33,26215,660,*,*,55,9332,55,8902,0,0,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98136,7789,13170,2664,589308,6230,388898,4868,13366,3260,16069,2776,53341,1325,31390,*,*,251,943,188,2927,3711,437636,86344,3264,405825,10410,3710,432465,24977,233,919,6867,89940,6835,92507,404,449,3516
"Under $10,000        ",920,1060,87,466,573,3045,415,898,276,377,258,379,168,-19,0,0,*,*,*,*,72,451,1392,48,293,51,108,-2887,490,0,0,246,39,344,148,197,131,395
"$10,000 under $25,000",1223,1594,236,21303,845,13993,528,1049,314,908,237,215,152,1496,0,0,22,72,*,*,219,3899,3623,168,3006,277,211,3755,734,0,0,1034,935,973,1108,139,270,507
"$25,000 under $50,000",1960,2700,416,71723,1624,55651,956,1790,573,1664,476,743,265,2900,*,*,80,279,26,170,611,23598,9499,498,19277,753,592,22895,2426,0,0,1918,6203,1867,6404,68,48,769
"$50,000 under $75,000",1238,2065,376,76153,1045,58522,862,2017,536,1502,433,1145,211,2809,*,*,59,203,16,100,744,46225,13735,636,39523,1123,739,45898,3574,*,*,1230,8263,1217,8433,0,0,517
"$75,000 under $100,000",841,1792,419,73032,721,55670,669,1272,464,1493,363,2068,172,3785,*,*,30,106,24,297,633,55265,13773,575,50207,1080,631,55087,3802,*,*,835,8323,831,8567,0,0,384
"$100,000 or more     ",1607,3959,1130,346631,1422,202017,1438,6340,1097,10125,1009,48791,357,20419,*,*,60,283,122,2360,1432,308198,44322,1339,293519,7126,1429,307717,13951,233,919,1604,66177,1603,67847,0,0,944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98138,369,627,152,26997,318,19461,182,1110,93,404,91,2379,69,254,0,0,*,*,0,0,169,21735,3570,138,18143,421,172,20094,975,*,*,319,4843,315,4966,35,49,222
"Under $10,000        ",46,68,12,-1295,27,255,17,601,20,15,10,453,27,137,0,0,0,0,0,0,*,*,*,13,185,7,11,-1394,78,0,0,*,*,19,16,16,12,27
"$10,000 under $25,000",67,100,26,1230,55,977,21,14,*,*,21,-20,*,*,0,0,*,*,0,0,18,265,232,*,*,*,13,238,32,0,0,65,57,53,70,19,37,44
"$25,000 under $50,000",107,158,38,3820,94,3262,36,27,15,28,*,*,13,212,0,0,0,0,0,0,36,1367,518,28,1108,89,36,1367,103,0,0,105,318,96,326,*,*,59
"$50,000 under $75,000",63,116,33,3847,60,3331,39,16,14,5,13,-20,11,-8,0,0,*,*,0,0,45,2778,709,37,2286,71,43,2668,177,0,0,63,423,61,425,0,0,34
"$75,000 under $100,000",39,84,23,3341,38,3076,28,17,17,14,15,38,18,-87,0,0,0,0,0,0,31,2646,551,24,2054,58,31,2646,135,0,0,39,416,39,415,0,0,23
"$100,000 or more     ",47,101,20,16054,44,8560,41,435,27,342,32,1928,*,*,0,0,0,0,0,0,39,14679,1560,36,12510,196,38,14569,450,*,*,47,3629,47,3714,0,0,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98139,223,370,68,22739,159,11416,142,912,97,705,101,3653,47,1779,0,0,*,*,*,*,124,18748,3655,114,17443,527,126,18695,1063,20,100,185,3708,188,3944,12,17,120
"Under $10,000        ",27,31,2,49,*,*,12,30,16,14,20,-20,10,146,0,0,0,0,0,0,*,*,*,12,190,15,*,*,*,0,0,0,0,*,*,*,*,14
"$10,000 under $25,000",34,44,8,573,32,456,12,7,*,*,*,*,*,*,0,0,0,0,0,0,12,198,160,*,*,*,15,182,40,0,0,26,23,30,45,12,17,18
"$25,000 under $50,000",52,69,13,1958,42,1515,25,59,15,19,12,-9,14,56,0,0,*,*,0,0,17,689,274,15,616,22,16,652,61,0,0,51,172,50,178,*,*,28
"$50,000 under $75,000",26,37,1,1678,21,1278,19,18,21,54,10,14,*,*,0,0,0,0,0,0,20,1293,417,18,1171,63,20,1293,87,0,0,24,178,24,203,0,0,16
"$75,000 under $100,000",18,35,6,1552,13,901,15,36,*,*,10,-8,0,0,0,0,0,0,0,0,14,1223,307,12,1048,16,14,1223,88,0,0,18,178,18,176,0,0,*
"$100,000 or more     ",66,154,38,16929,51,7266,59,762,45,618,49,3676,23,1577,0,0,*,*,*,*,61,15345,2497,57,14418,411,61,15345,787,20,100,66,3157,66,3342,0,0,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98141,44,66,15,2834,32,1479,19,4,*,*,*,*,*,*,0,0,0,0,0,0,10,1403,298,*,*,*,10,1063,47,*,*,36,314,35,325,*,*,18
"Under $10,000        ",*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*
"$10,000 under $25,000",13,23,7,210,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*
"$25,000 under $50,000",20,24,2,838,21,544,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,56,22,60,0,0,*
"$50,000 under $75,000",*,*,*,*,11,935,19,4,0,0,0,0,0,0,0,0,0,0,0,0,10,1403,298,*,*,*,10,1063,47,0,0,14,258,13,265,0,0,18
"$75,000 under $100,000",11,19,6,1786,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,*
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98144,11680,20605,5694,757200,10017,506219,5710,14746,3329,18143,2874,74521,1802,32461,*,*,325,1091,209,3631,3946,522660,92597,3370,485322,15589,3923,512487,25787,247,1085,9414,122415,9100,125238,1686,2504,6042
"Under $10,000        ",2044,2783,556,743,1504,8933,603,618,362,675,313,421,358,955,0,0,10,18,*,*,104,570,1270,57,332,63,141,-6541,642,*,*,391,73,650,337,764,741,1059
"$10,000 under $25,000",2699,4350,1254,47070,2271,38423,853,927,388,742,321,447,340,2806,0,0,61,171,13,39,318,5809,4930,229,4242,352,312,5712,1106,0,0,2171,1862,1916,2078,622,1469,1489
"$25,000 under $50,000",3274,5719,1723,117924,2971,102129,1445,1507,631,1340,507,852,388,4637,*,*,124,394,26,165,916,34964,13829,732,28194,1300,888,33925,3278,0,0,3203,9456,2903,9311,300,294,1580
"$50,000 under $75,000",1438,2616,667,88043,1294,72330,941,1518,516,1376,436,1567,220,3520,0,0,52,186,28,303,815,50551,14874,704,43784,1522,800,49612,3617,*,*,1428,9497,1414,9635,0,0,650
"$75,000 under $100,000",802,1705,463,69052,728,56615,610,1098,402,1454,342,1753,152,2309,0,0,27,96,23,237,544,46944,11524,486,41961,1246,535,46174,3010,*,*,798,8405,794,8417,0,0,374
"$100,000 or more     ",1423,3432,1031,434368,1249,227789,1258,9078,1030,12556,955,69481,344,18234,*,*,51,226,119,2887,1249,383822,46170,1162,366809,11106,1247,383605,14134,247,1085,1423,93122,1423,95460,0,0,890
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98145,604,782,104,25063,530,18922,260,268,128,287,95,1552,100,877,0,0,21,47,*,*,117,12433,2090,93,9378,357,114,12277,497,0,0,478,3501,480,3588,62,35,174
"Under $10,000        ",150,163,9,578,119,713,48,13,22,11,20,2,29,14,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,34,6,46,18,51,19,34
"$10,000 under $25,000",145,166,15,2536,127,2109,45,30,23,37,13,1,26,226,0,0,*,*,0,0,18,268,194,12,194,7,18,219,47,0,0,136,139,131,161,11,16,44
"$25,000 under $50,000",184,234,34,6601,170,5977,78,78,33,26,22,16,23,353,0,0,21,47,0,0,33,1259,421,29,1098,46,31,1205,81,0,0,183,635,178,655,*,*,49
"$50,000 under $75,000",56,80,12,3328,53,3101,36,33,26,93,11,31,12,48,0,0,*,*,0,0,17,1007,232,12,696,22,16,954,59,0,0,56,434,56,430,0,0,25
"$75,000 under $100,000",29,51,10,2524,27,2169,21,14,*,*,10,161,*,*,0,0,0,0,0,0,17,1494,251,15,1314,19,17,1494,86,0,0,29,352,29,350,0,0,*
"$100,000 or more     ",40,88,24,9496,34,4853,32,100,24,120,19,1341,10,236,0,0,0,0,*,*,32,8405,992,25,6076,263,32,8405,224,0,0,40,1935,40,1974,0,0,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98146,11633,23263,7456,561812,9866,415539,5150,10312,2703,8466,2254,29444,1622,22829,*,*,277,956,106,1353,4291,344297,80198,3586,304643,8691,4264,340094,22623,155,420,9386,64823,8951,64800,1678,2817,6477
"Under $10,000        ",1811,2571,610,7102,1380,7523,420,309,207,218,195,-129,268,1079,0,0,*,*,*,*,91,549,1510,59,347,64,122,-973,418,0,0,349,51,557,287,623,678,987
"$10,000 under $25,000",2737,5024,1807,47892,2225,37626,730,1015,311,545,244,189,325,2900,0,0,49,157,*,*,375,6897,5452,256,4714,368,358,6615,1082,0,0,2039,1681,1801,1925,748,1852,1647
"$25,000 under $50,000",3316,6560,2286,120188,2943,101616,1299,1672,595,1108,441,854,373,3304,0,0,83,283,17,64,1147,44040,17153,910,35013,1337,1125,43237,4364,*,*,3234,8793,2868,8257,307,287,1823
"$50,000 under $75,000",1714,3877,1210,104930,1530,85668,1013,1440,488,973,407,960,267,3596,0,0,64,184,15,112,1061,65278,17393,893,55192,1555,1049,64606,4618,12,11,1710,10340,1672,10041,0,0,868
"$75,000 under $100,000",981,2472,727,84283,883,67954,733,1326,428,807,346,1336,158,2529,*,*,39,137,15,98,721,62120,13914,639,55119,1370,720,62028,3900,*,*,980,9343,979,9105,0,0,510
"$100,000 or more     ",1074,2759,816,197417,905,115152,955,4550,674,4815,621,26234,231,9421,*,*,42,195,59,1079,896,165413,24776,829,154258,3997,890,164581,8241,143,409,1074,34615,1074,35185,0,0,642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98148,4560,8588,2683,175066,3932,141401,1729,2813,816,1653,650,4811,504,4298,0,0,84,261,12,65,1233,79266,20965,1008,68429,2822,1211,77572,4850,23,37,3705,17320,3484,16903,668,1100,2408
"Under $10,000        ",707,932,175,1811,534,3104,153,138,58,73,54,-7,113,171,0,0,*,*,0,0,25,126,470,11,46,11,32,-84,77,0,0,139,20,206,89,231,206,343
"$10,000 under $25,000",1146,1993,670,20200,956,16286,288,345,130,195,102,114,109,772,0,0,17,40,*,*,139,2571,1851,101,1858,171,133,2446,325,0,0,896,797,774,836,303,762,641
"$25,000 under $50,000",1535,2870,966,54945,1377,46895,534,507,234,383,183,333,135,1238,0,0,26,73,12,65,371,13823,5170,279,10425,513,361,13459,1153,0,0,1501,4373,1356,4100,134,132,804
"$50,000 under $75,000",664,1495,483,40360,608,33757,361,419,158,402,123,334,72,840,0,0,20,68,*,*,339,20875,5692,288,17744,694,330,20360,1340,0,0,661,4096,642,3896,0,0,344
"$75,000 under $100,000",284,710,213,24266,261,19912,205,307,108,218,83,550,35,321,0,0,21,80,*,*,179,15441,3226,164,14198,462,178,15362,844,*,*,284,2798,282,2692,0,0,142
"$100,000 or more     ",224,588,176,33484,196,21447,188,1097,128,382,105,3487,40,956,0,0,*,*,*,*,180,26430,4556,165,24158,971,177,26029,1111,23,37,224,5236,224,5290,0,0,134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98154,20,33,7,2313,*,*,14,92,*,*,*,*,*,*,0,0,0,0,*,*,10,1962,491,*,*,*,11,2016,91,*,*,16,354,15,416,0,0,13
"Under $10,000        ",*,*,*,*,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*
"$10,000 under $25,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"$25,000 under $50,000",*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,15,416,0,0,13
"$50,000 under $75,000",20,33,7,2313,0,0,14,92,*,*,*,*,0,0,0,0,0,0,0,0,10,1962,491,*,*,*,11,2016,91,0,0,16,354,*,*,0,0,*
"$75,000 under $100,000",*,*,*,*,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0
"$100,000 or more     ",*,*,*,*,0,0,*,*,*,*,*,*,*,*,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98155,16049,30437,8082,928629,13465,668179,8991,18111,5393,18076,4442,61002,2676,44145,10,-19,570,1905,252,3182,7032,625675,138734,5953,562008,17730,7003,617001,38340,290,836,13504,118409,13260,120649,1246,1731,6880
"Under $10,000        ",2516,3064,347,5888,1838,10284,843,819,555,589,464,-181,338,-323,0,0,11,28,10,46,134,778,2009,82,455,85,176,-3812,735,0,0,644,113,847,377,525,449,927
"$10,000 under $25,000",2882,4226,886,49822,2223,36453,1081,1574,559,1169,427,336,376,3199,0,0,51,139,*,*,486,8726,7445,355,6446,554,472,8492,1650,0,0,2345,2088,2190,2406,473,1055,1242
"$25,000 under $50,000",4097,6885,1739,150362,3580,123325,1984,2383,943,1864,773,1724,565,6559,0,0,188,544,24,139,1543,59689,23539,1172,45268,1841,1520,58795,5781,*,*,3973,11836,3736,11900,248,227,1682
"$50,000 under $75,000",2626,5578,1582,161650,2316,130104,1773,2616,1005,2251,806,1433,483,6401,10,-19,130,382,43,304,1690,104952,29228,1430,88936,2606,1674,103946,7580,11,5,2616,16020,2571,15815,0,0,1129
"$75,000 under $100,000",1710,4413,1404,148047,1531,117964,1345,2497,862,2252,637,2965,357,6190,*,*,88,331,43,329,1297,112683,25647,1149,99882,2929,1289,111980,7072,11,13,1709,16230,1700,16028,0,0,724
"$100,000 or more     ",2218,6271,2124,412860,1977,250049,1965,8222,1469,9951,1335,54725,557,22119,*,*,102,481,132,2364,1882,338847,50866,1765,321021,9715,1872,337600,15522,268,818,2217,72122,2216,74123,0,0,1176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98160,50,93,20,5655,32,3105,32,151,23,204,17,532,*,*,0,0,0,0,*,*,23,4746,664,22,4392,45,23,4675,292,*,*,39,908,40,964,0,0,32
"Under $10,000        ",*,*,*,*,11,251,*,*,10,10,*,*,0,0,0,0,0,0,0,0,0,0,0,10,606,22,10,641,61,0,0,*,*,*,*,0,0,*
"$10,000 under $25,000",24,34,3,472,*,*,*,*,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,15,40,0,0,*
"$25,000 under $50,000",*,*,*,*,*,*,19,8,*,*,0,0,0,0,0,0,0,0,0,0,10,712,184,0,0,0,*,*,*,0,0,*,*,*,*,0,0,21
"$50,000 under $75,000",12,28,10,898,10,489,*,*,*,*,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,10,73,11,98,0,0,*
"$75,000 under $100,000",*,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,*
"$100,000 or more     ",14,31,7,4285,11,2365,13,143,13,194,17,532,*,*,0,0,0,0,*,*,13,4034,480,12,3786,23,13,4034,231,*,*,14,806,14,826,0,0,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98165,405,651,142,25070,316,15244,214,708,112,345,99,4274,98,1643,0,0,11,33,*,*,152,16437,4324,126,14389,273,153,16395,979,16,73,333,3342,342,3547,32,37,231
"Under $10,000        ",70,79,5,105,33,238,24,16,22,16,18,-5,20,126,0,0,0,0,0,0,17,200,290,11,134,12,18,158,48,0,0,15,2,27,13,18,5,41
"$10,000 under $25,000",84,120,27,1509,69,1159,29,32,*,*,*,*,21,227,0,0,11,33,0,0,*,*,*,*,*,*,*,*,*,0,0,71,77,74,108,14,32,42
"$25,000 under $50,000",110,158,31,4087,99,3397,50,55,22,12,18,95,23,197,0,0,*,*,0,0,37,1455,570,29,1164,52,37,1455,126,0,0,108,348,102,349,0,0,58
"$50,000 under $75,000",55,101,26,3453,48,2768,37,47,17,25,22,-3,18,307,0,0,0,0,0,0,28,1799,662,24,1536,25,28,1799,160,0,0,53,374,53,408,0,0,25
"$75,000 under $100,000",30,65,19,2605,26,1949,21,34,11,2,*,*,*,*,0,0,0,0,0,0,23,2048,501,19,1685,16,23,2048,133,0,0,30,302,30,326,0,0,19
"$100,000 or more     ",56,128,34,13311,41,5733,53,524,40,290,41,4187,16,786,0,0,*,*,*,*,47,10935,2301,43,9870,168,47,10935,512,16,73,56,2239,56,2343,0,0,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98166,9757,19183,5366,695218,7772,429676,5644,16032,3635,17946,2981,63489,1411,35278,*,*,275,1035,169,3111,4234,491576,98909,3706,455937,17566,4216,487504,28896,290,948,8179,102193,7983,104195,792,1181,5099
"Under $10,000        ",1491,1870,276,4193,1064,5776,521,546,346,445,301,-126,181,340,0,0,*,*,*,*,64,317,1020,44,232,35,93,-1477,484,*,*,404,113,534,259,336,294,687
