adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98331,2111,4530,1460,76905,1833,60340,759,1061,316,436,267,1942,334,3224,18,-46,50,201,*,*,312,21010,4564,227,15922,691,314,20845,1156,*,*,1598,7256,1549,7171,387,657,1358
"Under $10,000        ",457,655,146,1771,350,1814,98,80,35,25,32,-28,57,-16,*,*,--,--,--,--,11,74,120,*,*,*,15,-10,28,--,--,91,16,141,45,147,165,255
"$10,000 under $25,000",511,966,307,8592,422,6731,122,193,51,76,40,31,86,641,*,*,*,*,--,--,28,529,403,25,379,54,28,529,70,--,--,367,284,336,357,178,440,334
"$25,000 under $50,000",606,1391,493,22323,562,19086,212,248,78,78,58,68,86,815,18,-46,22,75,*,*,89,3419,1096,50,1916,139,87,3338,262,--,--,603,1665,539,1510,62,52,386
"$50,000 under $75,000",332,937,329,20551,307,16849,175,197,70,67,57,239,66,939,*,*,12,49,*,*,93,5814,1326,77,4806,233,93,5814,299,--,--,332,1960,328,1862,--,--,231
"$75,000 under $100,000",132,388,130,11194,129,9250,90,100,45,92,43,148,25,476,*,*,16,77,*,*,51,4375,782,39,3350,94,51,4375,226,--,--,132,1253,132,1228,--,--,93
"$100,000 or more     ",73,193,55,12474,63,6610,62,243,37,98,37,1484,14,369,*,*,*,*,*,*,40,6799,837,36,5471,171,40,6799,271,*,*,73,2078,73,2169,--,--,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98332,6057,13080,3677,508841,4666,327427,3570,11076,2427,14652,2178,42039,1132,23251,13,-27,212,721,119,1639,3273,409764,80089,2958,386489,13411,3288,408318,23199,198,828,5065,80005,5019,81505,364,534,3173
"Under $10,000        ",979,1186,111,3079,663,3363,314,278,233,342,208,-142,134,440,*,*,*,*,--,--,78,470,1417,51,322,56,106,-266,455,--,--,259,46,352,165,151,127,403
"$10,000 under $25,000",926,1441,288,15665,627,9552,372,517,241,592,205,194,142,1238,*,*,27,55,*,*,193,3386,2983,146,2594,259,188,3310,659,--,--,709,583,686,717,154,363,451
"$25,000 under $50,000",1160,2233,567,42976,844,27892,601,967,382,1034,352,574,215,2429,*,*,44,154,28,128,527,20194,8532,446,17147,761,522,20015,2335,--,--,1116,2957,1033,3119,59,44,602
"$50,000 under $75,000",895,2244,701,55690,726,38593,582,991,382,1095,325,710,176,2199,13,-27,50,162,*,*,635,39898,11988,570,35974,1271,635,39898,3224,--,--,887,4885,859,4701,--,--,468
"$75,000 under $100,000",719,1977,635,62420,603,44470,522,1055,322,1248,283,1289,144,2501,*,*,33,114,10,125,586,50969,12158,548,47684,1441,585,50887,3354,*,*,716,6424,713,6344,--,--,398
"$100,000 or more     ",1378,3999,1375,329011,1203,203557,1179,7268,867,10341,805,39414,321,14444,*,*,58,236,81,1386,1254,294847,43011,1197,282768,9623,1252,294474,13172,198,828,1378,65110,1376,66459,--,--,851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98333,1598,3627,1088,167684,1243,93131,1037,2761,719,3435,643,17722,334,7624,*,*,59,227,41,706,966,128239,24531,870,113539,3185,968,127994,7284,72,335,1333,29248,1333,29769,72,100,838
"Under $10,000        ",261,310,23,915,170,838,83,56,59,58,55,-37,42,60,--,--,*,*,--,--,23,133,387,17,101,18,28,42,136,--,--,67,11,93,41,31,29,98
"$10,000 under $25,000",191,282,47,3203,134,2097,89,140,52,121,42,29,32,122,--,--,11,39,--,--,50,853,749,38,657,46,50,853,220,--,--,138,124,133,141,26,59,90
"$25,000 under $50,000",247,497,136,9259,176,5736,153,359,107,261,95,104,53,544,*,*,*,*,--,--,137,5313,2483,119,4614,253,136,5283,648,--,--,230,567,216,607,15,12,141
"$50,000 under $75,000",266,675,217,16791,204,11042,188,278,119,366,108,161,61,1110,--,--,18,75,*,*,199,12665,3681,177,11285,290,197,12541,992,--,--,265,1459,261,1438,--,--,152
"$75,000 under $100,000",216,613,210,18734,186,13959,158,159,105,247,89,81,45,841,--,--,11,30,*,*,185,16025,3988,171,14831,449,185,16025,1131,*,*,216,1892,214,1879,--,--,101
"$100,000 or more     ",417,1250,455,118782,373,59459,366,1769,277,2382,254,17384,101,4947,*,*,19,83,41,706,372,93250,13243,348,82051,2129,372,93250,4157,72,335,417,25195,416,25663,--,--,256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98335,11832,25652,7624,982711,9138,659312,6949,19934,4783,32097,4231,79737,2177,45357,31,-244,381,1312,229,4046,6114,787693,167352,5540,682005,27979,6161,779156,39586,332,1347,9778,154639,9660,157239,779,1143,6279
"Under $10,000        ",2029,2486,265,-2383,1341,8911,736,1110,580,959,534,239,235,592,*,*,10,20,11,28,147,836,2283,100,570,98,219,-6384,1123,--,--,543,100,704,266,282,256,884
"$10,000 under $25,000",1822,2865,627,31140,1235,19678,749,1316,484,1229,399,251,285,2298,*,*,17,47,*,*,392,7043,6490,299,5444,549,386,6947,1361,--,--,1370,1148,1327,1465,327,757,870
"$25,000 under $50,000",2224,4346,1244,82137,1658,55412,1114,1976,702,1989,607,1031,355,3978,*,*,63,187,21,141,946,36392,15397,790,30456,1509,937,36052,3741,*,*,2127,5774,1955,5790,170,130,1210
"$50,000 under $75,000",1843,4572,1496,114257,1510,82414,1196,1863,766,2330,658,1472,399,5055,17,-175,82,296,27,214,1241,77509,22832,1119,70037,2662,1235,77145,5794,*,*,1831,10247,1774,10073,--,--,997
"$75,000 under $100,000",1411,3966,1336,122475,1229,91894,1010,1678,666,2082,569,1927,313,5040,*,*,63,192,36,447,1159,100945,24305,1084,94496,3097,1157,100787,6474,21,31,1406,12527,1400,12374,--,--,743
"$100,000 or more     ",2503,7417,2656,635085,2165,401003,2144,11991,1585,23508,1464,74817,590,28394,14,-69,146,570,134,3216,2229,564968,96045,2148,481002,20064,2227,564609,21093,311,1316,2501,124843,2500,127271,--,--,1575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98336,357,765,224,12573,300,9909,136,74,45,23,42,222,43,307,*,*,*,*,--,--,58,3635,854,35,2367,39,58,3682,278,*,*,261,1124,254,1065,59,95,241
"Under $10,000        ",82,112,13,338,66,350,21,5,16,5,14,5,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,2,19,7,26,17,51
"$10,000 under $25,000",84,168,46,1372,64,918,29,10,*,*,*,*,20,133,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,54,35,55,46,33,78,52
"$25,000 under $50,000",99,235,81,3734,84,2960,40,31,15,12,18,23,23,174,*,*,*,*,--,--,18,523,250,*,*,*,18,523,78,--,--,99,274,88,254,*,*,73
"$50,000 under $75,000",55,155,58,3357,52,2984,23,15,14,6,*,*,*,*,--,--,*,*,--,--,22,1364,308,22,1058,15,21,1301,96,--,--,55,318,55,276,--,--,39
"$75,000 under $100,000",26,72,24,2205,24,1752,23,13,*,*,10,194,*,*,--,--,*,*,--,--,18,1748,296,13,1309,24,19,1858,104,--,--,26,254,26,239,--,--,26
"$100,000 or more     ",11,23,2,1567,10,945,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,*,*,11,241,11,243,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98337,2902,5148,1464,100017,2544,82011,924,1109,404,769,332,1564,238,2394,--,--,60,128,*,*,653,38393,8846,516,32399,1020,644,37837,2136,10,22,2344,10062,2182,9868,506,766,1316
"Under $10,000        ",512,707,164,1886,415,2186,80,47,40,30,41,-38,53,73,--,--,--,--,--,--,11,60,117,*,*,*,15,-18,42,--,--,97,14,129,54,209,195,227
"$10,000 under $25,000",879,1386,386,15115,762,12423,156,99,69,125,51,1,65,344,--,--,*,*,--,--,72,1318,835,59,1006,79,69,1274,160,--,--,744,652,663,657,215,503,427
"$25,000 under $50,000",853,1603,500,30653,763,25856,304,355,118,173,85,28,55,454,--,--,42,91,--,--,244,9483,2761,179,7020,275,237,9218,638,--,--,847,2482,743,2275,82,68,369
"$50,000 under $75,000",425,857,229,25856,392,22526,219,303,81,126,71,102,30,408,--,--,18,37,*,*,195,11875,2598,154,9347,265,192,11706,577,--,--,423,2958,414,2864,--,--,198
"$75,000 under $100,000",139,346,109,11812,131,10237,89,133,40,55,35,12,16,124,--,--,--,--,--,--,71,6057,1123,65,5564,179,71,6057,277,--,--,139,1478,139,1437,--,--,57
"$100,000 or more     ",94,249,76,14695,81,8783,76,172,56,260,49,1459,19,991,--,--,*,*,*,*,60,9600,1412,59,9462,222,60,9600,442,10,22,94,2478,94,2581,--,--,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98338,9533,21563,7144,454010,8396,368592,3855,4354,1910,2266,1473,13692,1258,12851,116,-1144,200,594,41,389,4328,303834,75562,3591,261358,7587,4324,301363,19565,54,123,7861,45244,7458,43568,1116,1859,4839
"Under $10,000        ",1497,2001,339,6051,1175,6345,311,249,146,118,69,150,146,710,12,-39,*,*,*,*,73,394,1063,45,251,34,101,-437,332,--,--,371,62,472,161,362,402,569
"$10,000 under $25,000",1870,3306,978,32649,1520,25444,528,442,213,253,172,61,182,1157,19,-49,23,43,12,56,316,5859,4607,242,4541,385,310,5755,937,--,--,1394,1209,1266,1351,510,1236,942
"$25,000 under $50,000",2420,5417,1919,89374,2165,73824,851,758,374,442,290,485,307,2628,26,-425,65,209,*,*,1049,40563,15266,806,31215,1254,1039,40141,3766,--,--,2355,6082,2057,5547,244,221,1281
"$50,000 under $75,000",1832,5185,1938,113269,1707,96610,928,743,465,571,334,690,295,2151,20,-257,48,123,*,*,1267,78941,21235,1056,65860,1908,1256,78279,5125,12,8,1828,9877,1753,8820,--,--,963
"$75,000 under $100,000",1144,3397,1205,98366,1100,86089,657,836,356,402,275,664,179,1640,15,-20,24,77,10,47,942,81009,17738,817,70378,1647,938,80669,4944,*,*,1143,10214,1141,9574,--,--,604
"$100,000 or more     ",770,2257,765,114301,729,80280,580,1326,356,480,333,11642,149,4565,24,-354,40,142,19,286,681,97068,15653,625,89113,2359,680,96956,4461,42,115,770,17800,769,18115,--,--,480
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98339,1720,3447,1021,63385,1388,43542,686,1506,337,1171,285,2451,265,2535,--,--,44,132,*,*,452,27754,7578,357,23438,872,450,27464,1795,12,22,1324,6005,1258,6106,323,534,917
"Under $10,000        ",342,466,92,1210,259,1307,78,83,34,64,33,-16,46,-126,--,--,*,*,--,--,11,41,149,*,*,*,14,-94,28,--,--,60,10,100,45,123,133,152
"$10,000 under $25,000",480,863,276,8245,366,5872,151,231,69,151,58,83,61,463,--,--,*,*,--,--,58,1017,767,44,660,48,56,986,125,--,--,375,284,324,334,148,360,268
"$25,000 under $50,000",481,1039,329,17819,402,13216,183,261,87,267,67,166,79,872,--,--,21,59,--,--,157,5972,2196,116,4427,243,155,5902,474,--,--,474,1263,420,1236,52,41,251
"$50,000 under $75,000",233,597,185,14218,209,11211,124,125,59,84,41,9,42,593,--,--,23,73,*,*,111,6850,1857,94,5773,217,110,6796,408,--,--,232,1329,231,1281,--,--,126
"$75,000 under $100,000",96,246,67,8276,76,4934,73,350,40,104,36,462,19,572,--,--,*,*,*,*,56,4879,1160,49,4271,185,56,4879,335,12,22,96,904,96,957,--,--,61
"$100,000 or more     ",88,236,72,13617,76,7002,77,456,48,501,50,1747,18,161,--,--,*,*,--,--,59,8995,1449,54,8307,179,59,8995,425,*,*,87,2215,87,2253,--,--,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98340,1089,2146,436,67122,729,34289,701,1545,484,3733,403,6022,199,1912,*,*,38,127,12,149,588,48296,12428,500,41214,1190,597,48076,3767,25,91,895,7758,894,7921,67,88,571
"Under $10,000        ",176,225,20,606,94,467,79,158,57,139,52,-26,40,6,--,--,*,*,--,--,22,141,417,14,89,22,32,-59,142,--,--,37,8,58,33,39,36,80
"$10,000 under $25,000",154,238,36,2705,85,1328,86,124,48,133,21,-54,22,175,--,--,--,--,--,--,53,973,747,39,744,54,52,953,193,--,--,113,87,109,114,28,52,81
"$25,000 under $50,000",258,502,113,9648,183,5907,148,193,92,307,72,95,47,599,--,--,21,58,12,149,125,4834,2061,99,3850,196,125,4834,605,--,--,246,646,231,678,*,*,134
"$50,000 under $75,000",206,471,109,12789,146,7467,149,296,105,400,96,233,45,223,*,*,*,*,*,*,147,9131,2392,126,7916,255,147,9131,708,--,--,205,1145,202,1117,--,--,113
"$75,000 under $100,000",135,347,92,11580,105,7754,98,167,71,379,54,85,22,400,*,*,17,69,--,--,104,8951,2168,94,8094,173,104,8951,666,--,--,135,1188,135,1186,--,--,63
"$100,000 or more     ",160,363,66,29794,116,11366,141,607,111,2375,108,5689,23,509,*,*,*,*,*,*,137,24266,4643,128,20521,490,137,24266,1453,25,91,159,4684,159,4793,--,--,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98342,699,1388,368,36885,538,25048,401,735,255,1293,220,2443,172,2964,--,--,19,50,14,84,332,26605,6742,285,23445,575,334,26383,2047,*,*,546,4323,560,4547,75,116,353
"Under $10,000        ",147,193,33,453,98,550,55,53,45,43,37,-28,28,1,--,--,*,*,--,--,13,83,172,11,66,7,16,-129,81,--,--,36,5,54,30,33,43,61
"$10,000 under $25,000",115,184,45,1984,81,1211,42,66,23,34,15,7,33,308,--,--,--,--,--,--,36,638,588,29,530,30,35,628,96,--,--,83,70,88,119,42,73,49
"$25,000 under $50,000",170,337,89,6420,132,4654,112,190,59,168,52,150,36,568,--,--,19,50,14,84,79,3141,1358,67,2715,95,79,3141,376,--,--,162,434,153,466,*,*,99
"$50,000 under $75,000",113,282,96,7001,98,5186,64,201,41,144,35,93,30,293,--,--,*,*,*,*,78,4870,1277,61,3823,72,78,4870,401,--,--,111,651,111,618,--,--,58
"$75,000 under $100,000",75,201,61,6455,64,4540,61,65,31,221,28,252,21,634,--,--,*,*,*,*,58,4979,1174,51,4389,99,58,4979,336,--,--,75,669,75,715,--,--,34
"$100,000 or more     ",79,191,44,14572,65,8907,67,160,56,683,53,1969,24,1160,--,--,*,*,*,*,68,12894,2173,66,11922,272,68,12894,757,*,*,79,2494,79,2599,--,--,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98343,118,234,56,5260,85,2569,51,130,24,29,24,492,21,171,*,*,--,--,--,--,12,1169,161,*,*,*,11,932,32,--,--,84,607,90,634,15,20,68
"Under $10,000        ",25,40,9,92,14,83,*,*,10,16,11,-10,*,*,*,*,--,--,--,--,12,1169,161,*,*,*,11,932,32,--,--,--,--,*,*,15,20,15
"$10,000 under $25,000",29,50,10,503,19,309,17,8,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,*,*,*,--,--,--,--,--,22,17,29,28,*,*,14
"$25,000 under $50,000",33,66,16,1212,26,824,23,6,14,13,13,502,21,171,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,31,95,30,99,--,--,27
"$50,000 under $75,000",21,58,18,1397,16,677,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,21,134,21,141,--,--,*
"$75,000 under $100,000",*,*,*,*,10,676,11,116,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,12
"$100,000 or more     ",10,20,3,2056,*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,10,361,10,366,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98344,262,577,182,11902,227,9287,99,84,42,49,32,107,27,16,*,*,*,*,--,--,113,7811,2010,86,6312,193,112,7794,546,*,*,207,1185,200,1146,36,47,142
"Under $10,000        ",49,70,16,191,39,160,*,*,*,*,*,*,14,39,--,--,--,--,--,--,*,*,*,*,*,*,12,182,31,--,--,*,*,12,5,16,17,21
"$10,000 under $25,000",56,95,26,1015,42,718,21,4,16,15,*,*,*,*,--,--,--,--,--,--,13,199,150,*,*,*,*,*,*,--,--,52,41,44,45,20,30,28
"$25,000 under $50,000",65,154,55,2450,57,1906,20,10,*,*,22,6,13,-23,--,--,--,--,--,--,30,1206,464,32,1103,39,30,1206,104,--,--,64,155,55,144,*,*,40
"$50,000 under $75,000",51,151,57,3160,51,2806,28,21,15,6,*,*,*,*,*,*,--,--,--,--,33,2015,524,24,1491,51,33,2015,146,--,--,50,278,48,255,--,--,26
"$75,000 under $100,000",18,49,15,1522,17,1165,10,6,*,*,*,*,*,*,--,--,--,--,--,--,18,1522,284,14,1185,23,18,1522,103,--,--,18,158,18,149,--,--,11
"$100,000 or more     ",23,58,13,3564,21,2532,20,43,11,28,10,101,*,*,--,--,*,*,--,--,19,2869,588,16,2533,80,19,2869,162,*,*,23,553,23,548,--,--,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98345,544,1061,271,31341,463,22988,320,316,167,317,122,997,60,211,*,*,*,*,*,*,233,19594,4116,194,17665,464,235,19519,1221,*,*,472,3766,457,3727,54,80,211
"Under $10,000        ",70,89,11,243,51,245,24,20,11,13,13,0,15,-59,--,--,--,--,--,--,17,203,284,*,*,*,20,160,73,--,--,17,3,23,10,20,14,22
"$10,000 under $25,000",73,123,37,1292,59,917,26,24,15,12,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,60,50,51,51,23,57,31
"$25,000 under $50,000",134,234,52,4909,112,3839,61,36,32,103,25,60,10,-17,--,--,*,*,--,--,44,1671,737,37,1315,64,43,1639,154,--,--,129,388,119,375,11,9,55
"$50,000 under $75,000",125,249,66,7711,110,6074,87,66,46,37,29,26,14,19,--,--,--,--,--,--,65,4092,983,58,3648,138,65,4092,312,--,--,124,860,122,842,--,--,52
"$75,000 under $100,000",78,197,60,6651,74,5552,63,52,27,26,24,27,21,268,*,*,*,*,*,*,57,4868,1034,53,4540,156,57,4868,280,--,--,78,752,78,748,--,--,25
"$100,000 or more     ",64,169,45,10535,57,6361,59,118,36,126,31,884,*,*,--,--,--,--,--,--,50,8760,1078,46,8162,106,50,8760,402,*,*,64,1713,64,1701,--,--,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98346,4240,8940,2656,229997,3426,153604,2057,4446,1238,5573,1018,17350,785,11850,19,-83,128,386,59,837,1945,165854,37195,1640,148401,4418,1951,164495,10923,56,232,3446,26761,3353,27243,472,744,2013
"Under $10,000        ",714,932,143,2195,506,2829,187,133,117,174,103,-45,100,60,*,*,10,20,--,--,46,278,621,29,174,32,63,-554,211,--,--,149,29,222,87,179,184,253
"$10,000 under $25,000",828,1394,390,14174,611,9817,270,334,155,439,117,111,117,1065,*,*,*,*,--,--,167,3062,2364,123,2273,163,165,3036,533,--,--,628,507,587,645,215,500,393
"$25,000 under $50,000",1051,2218,713,39073,883,30042,452,657,230,535,191,128,175,1747,19,-83,39,107,*,*,452,17532,6606,345,13389,487,447,17339,1732,--,--,1028,2736,924,2686,78,60,501
"$50,000 under $75,000",739,1927,659,45612,641,34832,431,578,249,918,214,699,171,1955,*,*,32,87,18,142,506,31495,8614,428,26630,834,504,31372,2326,*,*,736,4079,716,3845,--,--,381
"$75,000 under $100,000",416,1119,340,35735,364,26964,311,314,187,623,135,664,100,1655,*,*,20,66,12,93,333,28649,6432,299,25787,714,332,28573,1829,*,*,415,3780,413,3796,--,--,195
"$100,000 or more     ",492,1350,411,93208,421,49120,406,2430,300,2884,258,15793,122,5368,*,*,27,106,29,602,441,84838,12558,416,80148,2188,440,84729,4292,56,232,490,15630,491,16184,--,--,290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98349,1691,3577,1043,71659,1303,51105,702,809,350,1021,341,2348,283,2672,23,-156,32,99,*,*,651,41585,11391,518,35644,1063,653,41129,2967,15,52,1330,6935,1306,6983,213,345,871
"Under $10,000        ",292,409,66,959,187,1015,100,58,51,52,54,-17,49,1,*,*,--,--,--,--,22,125,378,13,72,15,34,-74,111,--,--,52,9,86,37,78,74,138
"$10,000 under $25,000",380,682,182,6486,277,4322,116,112,48,101,35,-29,70,524,*,*,*,*,--,--,73,1367,1046,46,886,61,67,1272,196,--,--,276,206,275,276,93,233,178
"$25,000 under $50,000",462,1009,327,16719,358,12140,165,198,94,201,86,237,75,715,23,-156,14,31,--,--,191,7110,2864,141,5259,247,188,7012,672,--,--,446,1086,400,1051,42,38,247
"$50,000 under $75,000",313,846,293,19472,267,15066,147,159,66,194,61,277,56,558,*,*,18,68,*,*,178,11069,2841,147,9127,262,177,11005,640,--,--,313,1778,303,1662,--,--,156
"$75,000 under $100,000",136,361,106,11473,126,8970,88,123,50,96,47,194,12,-142,*,*,*,*,--,--,98,8302,1864,87,7408,156,98,8302,503,--,--,135,1201,134,1169,--,--,79
"$100,000 or more     ",108,270,69,16550,88,9592,86,159,41,377,58,1686,21,1016,*,*,--,--,*,*,89,13612,2398,84,12892,322,89,13612,845,15,52,108,2655,108,2788,--,--,73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98350,127,297,131,2578,113,2158,16,1,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,80,152,62,115,51,100,77
"Under $10,000        ",42,75,26,186,35,151,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,10,3,17,25,22
"$10,000 under $25,000",39,97,45,669,39,622,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,20,18,15,22,62,22
"$25,000 under $50,000",46,125,60,1723,39,1385,16,1,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,45,132,34,97,12,13,33
"$50,000 under $75,000",*,*,*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,*,*,*,--,--,--,--,--,*,*,*,*,--,--,*
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98351,309,639,153,17803,214,9395,173,321,96,376,78,2034,34,162,*,*,*,*,--,--,130,11560,2761,113,11045,291,130,12554,805,11,55,242,2047,237,2044,25,42,170
"Under $10,000        ",54,78,12,244,35,199,16,6,*,*,*,*,12,56,--,--,*,*,--,--,*,*,*,10,176,8,*,*,*,--,--,*,*,10,2,15,15,22
"$10,000 under $25,000",63,113,25,1056,34,464,32,37,26,49,17,21,*,*,--,--,--,--,--,--,13,242,217,*,*,*,12,228,36,--,--,51,28,46,36,10,27,34
"$25,000 under $50,000",72,150,36,2599,49,1600,38,38,16,21,15,12,11,75,*,*,--,--,--,--,31,1176,444,27,1016,43,31,1176,112,--,--,72,165,63,162,--,--,44
"$50,000 under $75,000",54,137,42,3273,45,2314,35,19,19,17,20,-19,11,31,--,--,*,*,--,--,32,1994,567,27,1700,31,32,1994,161,--,--,54,290,52,269,--,--,31
"$75,000 under $100,000",28,74,21,2393,25,1719,21,5,10,13,*,*,*,*,--,--,*,*,--,--,22,1887,400,19,1620,61,22,1887,96,--,--,28,255,28,239,--,--,12
"$100,000 or more     ",38,87,17,8238,26,3099,31,216,25,276,26,2020,*,*,*,*,*,*,--,--,32,6261,1133,30,6533,148,33,7269,400,11,55,37,1309,38,1336,--,--,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98353,557,1031,206,33387,394,18433,344,721,224,777,173,3980,83,1109,--,--,16,36,*,*,274,21972,4750,240,19934,613,274,21972,1385,13,34,487,3853,481,3928,30,37,310
"Under $10,000        ",74,86,8,311,44,190,24,12,21,25,*,*,14,-37,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,22,3,27,5,14,9,26
"$10,000 under $25,000",91,118,14,1603,57,849,52,52,21,69,20,12,*,*,--,--,*,*,--,--,31,488,419,25,412,52,31,488,99,--,--,78,65,74,67,16,28,43
"$25,000 under $50,000",126,221,47,4659,94,3112,57,115,41,72,33,-28,21,177,--,--,*,*,--,--,55,2117,834,43,1664,99,55,2117,181,--,--,121,342,117,349,*,*,75
"$50,000 under $75,000",117,252,62,7301,86,4599,87,149,50,138,40,146,28,467,--,--,16,36,*,*,77,4827,1283,67,4195,154,77,4827,356,--,--,117,715,114,729,--,--,69
"$75,000 under $100,000",70,160,31,5959,53,3855,54,50,38,85,31,263,*,*,--,--,*,*,--,--,47,3969,758,44,3721,92,47,3969,226,--,--,70,673,70,655,--,--,44
"$100,000 or more     ",79,194,44,13554,60,5828,70,343,53,388,49,3587,20,502,--,--,*,*,*,*,64,10571,1456,61,9942,216,64,10571,523,13,34,79,2055,79,2123,--,--,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98354,3923,7682,2193,193027,3359,143251,1656,2277,864,2016,695,5749,499,5667,*,*,76,188,24,216,1436,109463,24997,1234,98739,2988,1429,108427,6338,17,46,3305,22610,3205,21875,379,567,1885
"Under $10,000        ",564,708,91,1757,420,2235,150,80,54,63,47,17,64,109,*,*,10,17,--,--,29,149,355,14,73,13,35,-310,77,--,--,134,24,172,50,128,128,207
"$10,000 under $25,000",823,1292,311,14243,632,10176,271,387,131,194,98,-72,99,829,--,--,*,*,--,--,108,1892,1552,87,1534,173,103,1814,280,--,--,659,571,619,659,173,385,391
"$25,000 under $50,000",1141,2069,586,41911,1000,34326,412,444,192,372,162,180,127,1300,--,--,34,93,14,68,359,13963,5160,283,11083,487,356,13840,1158,--,--,1118,3351,1038,3192,78,54,553
"$50,000 under $75,000",693,1613,521,42406,645,35143,337,517,177,247,129,404,94,1432,--,--,16,39,*,*,379,23675,6150,340,21235,629,375,23405,1564,--,--,692,4281,675,4076,--,--,323
"$75,000 under $100,000",425,1202,414,36759,403,31549,263,429,162,276,131,500,64,576,--,--,16,39,--,--,330,28694,5943,294,25591,709,330,28694,1584,--,--,425,4009,424,3798,--,--,233
